combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
BRISK+BRISK 12,0,0.5200147290853204,0.1934831613171081,264832,146255,76877,0.29028591710971485,0.5256367303681926,21.201124604843617,11.203122354623334,0.5284211363044329,8.399999618530273,72.0,22.08403357085349,1.0416444402108822,338095,668.4956521739131,0.619705627684651,1.013362000567506,2.1902438896608083,3.7249388291445142,0.2876673127203195,0.03708388714354761,0.0009755843750406493,0.8158239992671058,0.3997157717791273,0.8192080535725614,0.716450397047687,0.09706190650218308,0.7088763059329066,0.9154688908516287,0.5887647843482949,0.9242299232374038,0.704635143485758,0.0532650651212906
BRISK+ORB 12,0,0.5211721602142622,0.1935192325333803,266283,146419,68968,0.2590026400483696,0.47103176500317584,21.341191819156958,11.356518147921843,0.5321407653403708,8.399999618530273,72.0,22.085511191547255,1.0348771230162581,337835,599.7217391304348,0.6469443006053531,1.0039177465602056,2.477542138177172,3.4918751854230274,0.3101438348219464,0.032867287810337126,0.0012904535436724278,0.7431859772312757,0.3579003842942975,0.7845856028476088,0.6141420403338408,0.08453753461663988,0.6728755601492332,0.841128302846253,0.5292074208442225,0.8840703682125133,0.8163439188486414,0.06403539821808463
BRISK+SIFT 12,0,0.5200147290853204,0.1934831613171081,252374,146255,88542,0.3508364570042873,0.6053946873611159,20.898199303991134,11.803643875502836,0.5648163128221568,8.399999618530273,72.0,20.601910418974683,0.9858222768044964,338095,769.9304347826087,0.660367930041479,1.0200344015217473,1.9618766763283877,5.371813261270971,0.4010413137268189,0.0671978888475041,0.0018635223961509793,0.8318979904047417,0.4469406930369178,0.8231097545960995,0.7365893901622715,0.1193216585645541,0.680811272144425,0.943658903610968,0.7052716785844844,0.9464554894091111,0.616275387024922,0.05669334470035003
FAST+BRISK 12,0,0.5344521739130436,0.18912714120070753,270725,153655,63254,0.23364668944500877,0.41166249064462596,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,550.0347826086957,0.6281048635451648,1.017223318573994,2.340771724517545,3.9162360328746884,0.2901950864767446,0.04171022255055869,0.0012015050431593258,0.6860530006218988,0.3268638841000858,0.7253604907477189,0.5839654031625254,0.06656124984446783,0.6443874353608074,0.8314031573344438,0.4971178921315534,0.8475728116588355,0.723768963791059,0.040098680012251864
FAST+ORB 12,0,0.5367513043478261,0.1875759298386134,269485,154316,87272,0.32384733844184277,0.5655408382798932,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,758.8869565217391,0.5951948268188091,1.031370003810192,2.3193855169696436,4.283733788522552,0.36865203043358696,0.046622260979275285,0.0018677238976991474,0.7003548470201894,0.4384303201391151,0.8032747370303922,0.5561245834012324,0.10018243032885601,0.7218128443439847,0.81808101562541,0.6363778353832311,0.8893585095443567,0.567731943635026,0.04968915177856448
FAST+SIFT 12,0,0.5327339130434783,0.1902972973314246,256670,153161,116814,0.45511356995363694,0.7626876293573429,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,1015.7739130434783,0.6503988918004886,1.035668949722683,1.7476204045851875,4.858094050726614,0.3845943123255774,0.06241477383410605,0.002097351344873046,0.8697606257781366,0.5566661470743886,0.873717717050849,0.8046104948980127,0.14486295220527276,0.7179315586447524,0.9543089059085333,0.842462459424868,0.9527832424990966,0.6031487124842533,0.0853562931672713
GFTT+BRISK 12,0,0.5304034782608695,0.20162395644860423,271677,152491,65180,0.23991725468111028,0.42743506174134865,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343603,566.7826086956521,0.6216179802622369,1.020507292827314,2.3124223615666883,3.798713177780968,0.28522552930346734,0.038965389046551606,0.001457502301319423,0.701936605683534,0.32429992835153537,0.7386439763671749,0.6074003143252138,0.06426581493117985,0.6691681060419704,0.8411554727181009,0.473475999546887,0.8474355230969062,0.7493498338454639,0.008633167334942564
GFTT+ORB 12,0,0.5325356521739131,0.20107922305975276,266496,153104,90146,0.33826398895292986,0.5887893196781273,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343171,783.8782608695652,0.5976350249184705,1.051066765817895,2.265691332521675,4.335322106147935,0.37038803718412355,0.048117044908741594,0.0021964368912652807,0.7113025919415829,0.43768514353877885,0.806795374837507,0.567981650514493,0.09560741299524493,0.7211747287907109,0.8098701286577604,0.6353253540894784,0.8817746580486946,0.5862354377322163,0.013660420546181863
GFTT+SIFT 12,0,0.5292139130434783,0.20178802777730223,263620,152149,98341,0.37304074045975266,0.6463466733268046,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343877,855.1391304347826,0.6114661145983294,1.060266664179324,1.7622565798269996,3.9661899704119565,0.264569203079082,0.045884227296866704,0.0011083881595672202,0.8044413019427376,0.4792541843787292,0.832635394912521,0.73651367923124,0.10846301718562619,0.6961333008664911,0.9090019130944056,0.6839758815953875,0.8983468422150255,0.6598894435616602,0.06118562617414011
ORB+BRISK 12,0,0.488252351588569,0.2103924502162679,232022,122549,78128,0.3367266897104585,0.6375245820039331,51.8953094080848,18.03248973314752,0.3474782198781578,31.0,111.0786361694336,52.551398447906045,1.0126425499203022,299751,679.3739130434783,0.5992210044505974,1.009213408640299,2.1035892927177975,4.221849652188155,0.4716490886749949,0.04371568213359078,0.0020223223428220355,0.8652437355717041,0.387943415248665,0.8184329620462332,0.7944750945754843,0.0936689414404229,0.7016812884661967,0.9183175121169255,0.6412608463863626,0.923258138341411,0.6463368627324739,0.021514565325518764
