combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
AKAZE+AKAZE 15,0,0.5406951006273999,0.20350007375897755,134537,76385,46794,0.34781509919204384,0.6126071872749885,9.627800905971295,4.896251900058542,0.5085535054034841,4.800000190734863,64.58084869384766,105,9.75804325895044,1.0135277364219661,169619,406.90434782608696,186.08282279033213,0.5730707323190799,1.0166268248244577,0.4173963407618107,0.831955966697394,1.9932037860680571,3.3604361625426464,7.500712275607179,0.19660640253023892,1.4358325765125053,0.03304667117595903,0.0008548104457836475,0.8772629618592663,0.4393436607193528,0.8829706546665237,0.7789072912384677,0.09402020635257291,0.7654206321230741,0.9440524206511001,0.6766911538903652,0.9468186263975996,0.7475094756315044,-0.01892632294140401
AKAZE+BRISK 15,0,0.5406951006273999,0.20350007375897755,128111,76385,41222,0.3217678419495594,0.539660928192708,9.583453012249166,4.90134767110042,0.511438587410584,4.800000190734863,64.58084869384766,103,9.843515415505362,1.0271366075384096,169619,358.45217391304345,190.57620835488956,0.6367714714143836,0.9896806945812825,0.3446254894177641,0.7121344805980228,2.066401071496933,3.7538462739343226,8.058599874369323,0.3545679491533647,2.075778249409207,0.03969994770160252,0.0017223812527291252,0.787984371929843,0.3977594750598512,0.8098606189390926,0.6435366191610766,0.07022597650773357,0.6063668699273348,0.8681371046435643,0.5328413416351961,0.9011420662186037,0.6883744198129725,0.04712776175853881
AKAZE+ORB 15,0,0.5405232653061224,0.20365170143801947,131108,76360,39370,0.30028678646611956,0.5155840754321634,9.630174715748735,5.034676732011948,0.5228022212077289,4.800000190734863,64.58084869384766,104,9.602520327135666,0.9971283606549896,169596,342.3478260869565,190.68809239758687,0.6252092557117568,0.9881790548358101,0.21079315281944835,0.47000587063551263,2.229701792249813,3.8031012600298992,7.968915596883102,0.3567945135890272,1.8882758434213844,0.03877719132318394,0.0014986029972059943,0.7314678715827622,0.37189811110397814,0.7671257808158285,0.5780912318658156,0.07006943040314842,0.5868079212533169,0.8148192755423378,0.5285303045998412,0.8724904847402335,0.6649696263200938,0.05989704687564356
AKAZE+SIFT 15,0,0.5406951006273999,0.20350007375897755,129419,76385,50880,0.39314165617104135,0.6660993650585848,9.676416482997556,5.040609425944606,0.5209169566855113,4.800000190734863,64.58084869384766,105,9.819230690467283,1.0147589975814564,169619,442.4347826086956,186.67237658923852,0.5965621793115525,1.0243140438480263,0.4983417782733239,0.8967670240564264,1.7995019947225446,4.1226867770574644,8.75367358085822,0.23879716981132076,1.6809876925135194,0.04812276404546473,0.0011988993710691823,0.8917772342583877,0.4893625754434603,0.8886002629234913,0.7988337332724865,0.09926389649394013,0.7552772823676064,0.9645322282410831,0.7427829882351241,0.9507127513326294,0.6555555744954562,0.003946560878379979
AKAZE+BRIEF 15,0,0.5406951006273999,0.20350007375897755,129872,76385,52236,0.40221140815572254,0.6838515415330235,9.629157249212588,5.044369075504469,0.5238640251634655,4.800000190734863,64.58084869384766,103,9.375008123438942,0.9736062960448145,169619,454.2260869565217,220.88293420682942,0.5532337102851833,1.0234587572255673,0.24203189765425814,0.4555886268761824,1.8823495220741087,3.808434458543797,8.154644176203707,0.3714296653648825,1.863762476295913,0.04144080325243316,0.0012634964392373076,0.8080781915430597,0.49210823456446334,0.8134196634825963,0.7289972723876663,0.10222636811360127,0.5755828532596305,0.8808325353869291,0.6813450666461951,0.8976558384076548,0.5809197737621212,0.00859028960347725
BRISK+BRISK 15,0,0.491940795559667,0.19941537153177027,137173,70672,39117,0.28516544801090593,0.5535006791940231,21.47124335667689,11.420878773655692,0.5319151100816039,8.399999618530273,72.0,130400,22.650119718398578,1.0549048949862092,172243,340.1478260869565,175.66228683759425,0.6067887946008437,1.012592486950706,0.35824657910128327,0.767442266495901,2.142217989690643,3.7736507913364874,7.921024692271539,0.30597949740522024,1.77231719776584,0.03850612000903968,0.0011503949689393358,0.8204664691866291,0.39658276576537205,0.8100266878266471,0.7355578595041111,0.10034363141451949,0.691478563545141,0.9194740970169573,0.5987465585662938,0.9227363614153627,0.6883567373266827,0.05060867281039361
BRISK+ORB 15,0,0.4934469565217391,0.2002157311384392,137979,70856,35648,0.25835815595126793,0.5031048887885289,21.62375211521824,11.496648319831293,0.531667596750716,8.399999618530273,72.0,131023,22.72036903395687,1.0507135354167725,172162,309.9826086956522,171.8303502375524,0.634175811385114,1.0042282864951373,0.21776745590647256,0.5273879613010272,2.421794198337567,3.4422846954971407,7.341415650628997,0.34529286355475763,1.975335958052524,0.03162800136252618,0.0017672800718132855,0.7496001819255066,0.35972252950207195,0.7785259713396432,0.6314858870687716,0.08883510487810226,0.6643922443264696,0.838680266888946,0.5391631244988423,0.8839472670549702,0.8017153483771314,0.06618518200510096
BRISK+SIFT 15,0,0.491940795559667,0.19941537153177027,131550,70672,44867,0.34106423413150894,0.6348624632103238,21.145753281142767,11.845614037658112,0.560188794419621,8.399999618530273,72.0,124582,21.346515377345742,1.0094942040386903,172243,390.1478260869565,183.84214606337457,0.6476886374618412,1.0199456266229265,0.41633072831501017,0.8234508765013242,1.9778767707923612,5.358175598631699,9.959089819240411,0.38948447634118616,2.0623419351805916,0.06755606233371342,0.0014710143312456816,0.8405539551386393,0.4391493899340301,0.8283556420122511,0.7516666213633043,0.12293739679120444,0.6876481408002036,0.9433092953377148,0.6971458227340748,0.9380390567311678,0.6189532888136947,0.06240550572219049
BRISK+BRIEF 15,0,0.4930979153218151,0.20004933644086642,133257,70819,46398,0.3481843355320921,0.655163162428162,21.637527965562345,11.819562393386514,0.5462528996934485,8.399999618530273,72.0,126356,22.117667255856272,1.022190117607617,172192,403.46086956521737,209.40749901262402,0.5529785171097423,1.0058637953941398,0.205693030251596,0.42592327191533536,2.0706743023541536,4.606384655215111,8.852637009175252,0.5116815379973275,2.239848759765641,0.05078907674643734,0.001853528169317643,0.7773726085490045,0.4459797006092716,0.7879398932323314,0.7053323762870111,0.1208713932721727,0.5996651369006066,0.8509014735747731,0.6780295299495905,0.8886318869549201,0.6124905066341878,0.05211843431259019
FAST+BRISK 15,0,0.5080834782608696,0.1993040936032979,136306,73037,32104,0.23552888354144352,0.4395580322302395,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,279.16521739130434,183.83205617390743,0.6210823478300668,1.0109888389812072,0.34349696877994346,0.7737964676222868,2.252702463054365,3.9634425483837834,8.248813506211487,0.31425990530774983,1.9843521915135944,0.042411926107434744,0.0014328432594069274,0.686799981515097,0.33223004688398367,0.7201391912636118,0.5955502698063697,0.07215688468679571,0.6297235772392248,0.8236408508397935,0.5019932763322145,0.8369470535794342,0.7200578551551712,0.03677831274895285
