combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
AKAZE+AKAZE 2,0,0.5472319019897662,0.20123384985622564,257167,147902,86002,0.3344208238226522,0.5814796284025909,18.48884596571345,9.503957559394028,0.5140373594446401,9.600000381469727,129.1616973876953,18.251003929344527,0.9871359176873459,327462,747.8434782608696,0.6258737958555198,1.0182843340720094,2.0309762041983324,3.0821683964116704,0.16824027348201204,0.028988944926837425,0.0004883607357968419,0.8620479402104924,0.4139033850176517,0.8661441789497454,0.7695691057463493,-0.02181078763968096
AKAZE+BRISK 2,0,0.5472319019897662,0.20123384985622564,249304,147902,89944,0.3607804126688701,0.6081324120025422,18.412289449053368,9.447265001112456,0.5130956162324598,9.600000381469727,129.1616973876953,18.736423711192298,1.0176042345540899,327462,782.1217391304348,0.6094263795792434,1.0335198649887745,1.984562311379746,3.223807078907679,0.18017877790625278,0.03154782915637134,0.0005225473628035222,0.865035747047861,0.4540809740528455,0.8758626905879092,0.7300881924909017,-0.00111565799558624
AKAZE+SIFT 2,0,0.5472319019897662,0.20123384985622564,242688,147902,101104,0.4166007383966245,0.6835877810982948,18.719937449615873,10.013186785517094,0.5348942437690977,9.600000381469727,129.1616973876953,18.473659753705114,0.9868440962170089,327462,879.1652173913044,0.6153271307392141,1.0303779298620697,1.8801728625497829,5.0123121044303796,0.2342043836050008,0.06353837025316456,0.0011967874663712612,0.9053239036418168,0.5047350527174052,0.9098067613084705,0.65244090957279,-0.006640442352907429
AKAZE+FREAK 2,0,0.5473167833349973,0.20149793864276225,245878,147839,93653,0.38089214976533076,0.6334796636882013,18.44748680525588,9.537408777505775,0.5170031494365112,9.600000381469727,129.1616973876953,18.899712765926967,1.024514231420523,327317,814.3739130434783,0.6087742272788936,1.035529446816834,1.9428590736690525,3.574406819642262,0.2308521883975954,0.03803919016748143,0.0010464160251139846,0.8424835332763737,0.4671943898777011,0.8608005429912706,0.5378088570214007,0.02082199024046883
BRISK+BRISK 2,0,0.5064332192992921,0.19119779001846696,262468,140542,75774,0.2886980508100035,0.5391555549230835,39.405609791311214,19.43416139053811,0.49318260758962473,16.799999237060547,144.0,39.719536897590984,1.0079665587702438,333928,658.9043478260869,0.6278531872524834,1.0163684269641817,2.212264156718414,3.783752686041727,0.302636788344287,0.03719310544523523,0.001214136775147148,0.8228009523590655,0.3911757768273555,0.8144699365060888,0.6986337368909045,0.050189444025423906
GFTT+BRISK 2,0,0.5174713043478261,0.20061765181568098,271677,148773,64699,0.23814676987746478,0.43488401793336157,6.0,0.0,0.0,6.0,6.0,6.0,1.0,343603,562.6,0.6189339396878994,1.0202553204148002,2.3221933048847787,3.798713177780968,0.2704060340963539,0.038965389046551606,0.0013910570487951901,0.7029852764078814,0.32184702333914555,0.7402166725762952,0.7476887267180593,0.010286304396779073
GFTT+SIFT 2,0,0.5163373913043477,0.20076435915330734,255197,148447,113811,0.44597311096917286,0.7666776694712591,6.0,0.0,0.0,6.0,6.0,6.0,1.0,343877,989.6608695652174,0.6349517159495606,1.0629435785829784,1.7619291608888987,4.779499759009706,0.37272319898779555,0.060529708421337244,0.0020296807865672036,0.864830638647639,0.5426166255101115,0.8641252204359434,0.5826980006524919,0.05632165621229829
GFTT+FREAK 2,0,0.518608695652174,0.19993010498898703,264695,149100,68688,0.2594986682785848,0.4606841046277666,6.0,0.0,0.0,6.0,6.0,6.0,1.0,343355,597.2869565217392,0.6284673023921572,1.023017724637978,2.2031749138532604,4.00402727667693,0.3394479385045423,0.04354067889457678,0.0016014442115071046,0.6684623710349044,0.34085390042354186,0.719363374935284,0.6591523141522462,0.021834614983652183
ORB+BRISK 2,0,0.4642265089503383,0.21676499094599244,144287,76016,44302,0.30704082834905433,0.5827983582403704,92.2151936993981,29.11309903177142,0.315708267410617,62.0,222.1572723388672,92.12577113172689,0.9990302837950684,197912,385.23478260869564,0.5777465898232357,0.9963144821910425,2.126355596660176,4.4180972644798215,0.5808089928219945,0.04499365847235025,0.0020315109927317053,0.8365518938178808,0.35812474322401444,0.7554377717591444,0.5948122744879211,0.021708756686072965
ORB+SIFT 2,0,0.48011096034400375,0.20941075901716377,249173,137897,69347,0.27830864499765223,0.5028898380675432,105.04678953056055,43.866038794309176,0.4175857157590478,62.0,222.1572723388672,101.33975425377069,0.9647106275845642,344299,603.0173913043478,0.6204675424009496,1.0162283101747873,1.953898612017179,6.251463842390629,0.7942376743045841,0.0847001882226405,0.004816358313986186,0.6410122015890749,0.3263828733555359,0.56721246592767,0.4419750646320923,0.20746572290727291
SIFT+BRISK 2,0,0.45420184415474424,0.17691114956677456,258839,129094,62990,0.24335590849910563,0.48793902117836613,10.33821017522086,11.831980310923443,1.1444902077230859,3.5966107845306396,879.1981506347656,11.450615300218498,1.1076013261622313,339586,547.7391304347826,0.5491098266576303,0.9899862703287056,2.3818776775120276,4.292448201391599,0.25538974440387363,0.043787837227002115,0.0013176694713446578,0.7917862673572733,0.3227044767678409,0.7470525609117407,0.5687396765498045,0.012847340491237631
SIFT+SIFT 2,0,0.45168919601198193,0.17528948241755726,259402,128747,84746,0.32669755823008306,0.6582366967774006,11.351438665987251,15.56374898211684,1.3710816258692473,3.5949960947036743,879.1981506347656,11.83644215280164,1.042726168998087,340725,736.9217391304347,0.5688922269372105,1.0122508738969436,1.9786325435192433,4.454526179443489,0.16386614117480472,0.052216251223968974,0.0008613975880867533,0.8463917488370399,0.4176702411945144,0.8916702859207946,0.704743834170941,0.02934126913013927
SIFT+FREAK 2,0,0.45532788175130484,0.17723578986916222,252761,128662,64626,0.2556802671298183,0.5022928292736006,9.453478106490326,9.970641260369156,1.0547061248836838,3.601261258125305,879.1981506347656,10.575730162840701,1.1187131385621856,337745,561.9652173913043,0.5759941981262373,0.9952123740264338,2.331883158176086,4.729337199963602,0.3443350973292483,0.05248436269835932,0.0018258905084640857,0.7452858895340594,0.32995273373157774,0.7325455010538927,0.5304569260955377,0.003603558170363943
SIFT SIG 4.8+SIFT SIG 4.8 2,0,0.41918861566315363,0.16455238709384995,219028,100302,77714,0.35481308325876143,0.7748001036868657,25.97815487169572,25.135206359225034,0.9675516403442066,10.787458419799805,915.9084777832031,25.35933910222565,0.9761793794622307,289497,675.7739130434783,0.5581973300900762,1.049445917401915,1.8946318917101281,3.9368665193491243,0.07939367424144941,0.04328213744361452,0.0002316184985974213,0.9026424416840154,0.4680568895947664,0.9176232597649195,0.6979141017557497,0.033580073314863415
AKAZE+AKAZE 3,0,0.5472319019897662,0.20123384985622564,257607,147902,74925,0.29085001572162245,0.5065854417114035,27.70509279653082,14.18248815192784,0.5119090650980871,14.40000057220459,193.7425537109375,26.666095286666213,0.9624979595811096,327462,651.5217391304348,0.679049549337471,1.0004826272528207,2.1125189892800464,3.0440981805618637,0.21322655989322656,0.027452670152596784,0.0005338672005338672,0.7924480694088906,0.3585483269241376,0.804729933061733,0.7889649306499923,-0.02859521003229052
AKAZE+BRISK 3,0,0.5472319019897662,0.20123384985622564,254881,147902,92952,0.36468783471502386,0.6284702032426878,27.678394883021376,14.208951421256208,0.5133589386706935,14.40000057220459,193.7425537109375,27.93734367748004,1.009355629022314,327462,808.2782608695652,0.6027049442532939,1.0487918242393441,1.964650704662377,3.3277921853727817,0.1633961614596781,0.03358037672482453,0.0005271537998106549,0.8772877383717184,0.46298684992615224,0.8878127219990438,0.7340537402133934,-0.024693440171652453
AKAZE+SIFT 3,0,0.5472319019897662,0.20123384985622564,240288,147902,98562,0.4101827806632041,0.6664007248042623,28.147638216533363,15.108166158242328,0.5367472056454133,14.40000057220459,193.7425537109375,27.455969503136274,0.9754271137039549,327462,857.0608695652174,0.6162563723309016,1.0282856794568052,1.8968539216970643,5.286830803036357,0.252916945678862,0.06897556265814356,0.0013088208437328787,0.8916446097714211,0.490657270193461,0.8938077200420911,0.6055043300854565,-0.012136914685708712
AKAZE+FREAK 3,0,0.5477643033286653,0.2011919835797969,245433,145019,97467,0.3971226363202992,0.6720981388645626,26.387612076523506,13.090103949787338,0.49607004649857356,14.40000057220459,193.7425537109375,26.767873721142458,1.0144106122037948,321360,847.5391304347826,0.5938803341222021,1.0609359614972405,1.8912564658354163,3.6095186873810774,0.2067263791847497,0.03930604278968191,0.0008515702750674588,0.8722580531456797,0.49803992751902776,0.8857227625048668,0.5898713881310176,-0.021798854451206103
BRISK+BRISK 3,0,0.5080280137707134,0.19500171947874734,257045,138775,73356,0.28538193701491954,0.5285966492523869,55.02287649775259,24.99537569640251,0.454272427895031,25.19999885559082,216.0,54.31313975395946,0.9871010607047758,329537,637.8782608695652,0.6279192971820307,1.014382378669919,2.2116643693598106,3.8316559357310975,0.3325426686296963,0.037067439553385595,0.0009133540542014286,0.8194534261236776,0.38008328713139367,0.7997660186296573,0.6785725757255809,0.048804413474580234
GFTT+BRISK 3,0,0.5176139130434784,0.20029063356378835,272729,148814,68739,0.25204140373777634,0.4619121856814547,9.0,0.0,0.0,9.0,9.0,9.0,1.0,343545,597.7304347826087,0.61584548703978,1.0168953510027618,2.3061445488421373,3.753000230998537,0.2559100365149333,0.03775909419240345,0.0012511092683920337,0.7401006078150159,0.3405877183620489,0.7701185744909638,0.761067633607096,0.015818109133485844
GFTT+SIFT 3,0,0.5163373913043477,0.20076435915330734,248202,148447,118710,0.4782797882370005,0.7996793468375919,9.0,0.0,0.0,9.0,9.0,9.0,1.0,343877,1032.2608695652175,0.6420274224934573,1.0648520565969228,1.742968183810936,5.41032707230401,0.4569623452110185,0.07376652887567385,0.0025440148260466684,0.8782238898701746,0.5654411208090285,0.8659333187230028,0.5104768546128897,0.03865473239517793
GFTT+FREAK 3,0,0.5198539130434783,0.1999051763416004,265500,149458,75253,0.28343879472693034,0.5035060016860924,9.0,0.0,0.0,9.0,9.0,9.0,1.0,343180,654.3739130434783,0.622939855326839,1.0292363838875869,2.153874686320326,3.938873822975518,0.31313037353992534,0.04264030131826742,0.0016079093192297982,0.7183658866390683,0.3695248857011422,0.7601472086942024,0.6692010768502902,0.01540897479603286
ORB+BRISK 3,0,0.44530026949926155,0.2257921498115184,93449,48595,26054,0.27880448158888804,0.5361456940014405,133.42245129266647,45.00122576459125,0.3372837579327605,93.0,333.23590087890625,132.12993158744706,0.9903125771360307,134835,226.55652173913043,0.5744889120811529,0.9860833718454761,2.1383249258704424,4.744962492910571,0.7395025715820988,0.048828772913567825,0.0022645275197666387,0.794236098798589,0.3431075206396715,0.69109143366764,0.5760378061704206,0.04041308656596097
