combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
FAST+SIFT 1,12.644918114947464,0.5185356521739131,0.18907247756455922,256637,149079,115182,0.44881291473949586,0.772623910812388,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,1001.5826086956522,0.6436326786657186,1.0362509396378055,1.7621378515071744,4.8640803937078445,0.34985501206785785,0.06264490311217791,0.0018232015419075898,0.8686027781309299,0.5523082412590824,0.8746402347682017,0.8094588454435898,0.14699469825083175,0.7261990376775354,0.9564212697768968,0.8583729354986668,0.9542947090274508,0.5949721303105812,0.07745171647004796
FAST2+SIFT_FAST2 1,17.84991987550401,0.5124017288116062,0.1986989125478628,239544,139166,106126,0.4430334301840163,0.7625856890332409,7.0,0.0,0.0,7.0,7.0,7.0,1.0,324245,922.8347826086956,0.6378707263679317,1.027290579295351,1.7271279906126513,4.366788564940053,0.312637807888736,0.05383979561166216,0.00138514595857754,0.8707173943695083,0.5458160782720377,0.8692846832359348,0.8149353548075856,0.14783437312971973,0.7013054867148746,0.952243856435519,0.8540806163102719,0.949337754004897,0.6086216887493184,0.07508763742289948
GFTT+SIFT 1,23.176564712472313,0.5163304347826086,0.20074150030148033,263605,148445,97746,0.3708048026403141,0.6584660985550204,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343877,849.9652173913043,0.6088536027771453,1.0606249507525922,1.768007592533651,3.9654369226683865,0.24770323082274467,0.04584510915953795,0.001012829169480081,0.8041718050900107,0.4774456502705393,0.833289871027233,0.7400888620157355,0.11037954610106428,0.701964510734583,0.9175455893700886,0.7134988478750451,0.9054856411976457,0.6579278609279631,0.05879897885901468
GFTT2+SIFT_GFTT2 1,11.170474285404547,0.43921290517816486,0.25273392313825077,117363,64170,50821,0.4330240365362167,0.7919744428860839,11.0,0.0,0.0,11.0,11.0,11.0,1.0,175206,441.9217391304348,0.6452394836357666,1.0527059687650755,1.7638785039823042,4.59265697025468,0.4355286200586372,0.053049087020611264,0.0011215835973318116,0.8838284188106893,0.5526316173836756,0.8175886165203667,0.8341115009256391,0.128824475269664,0.4985777287855565,0.945756381568488,0.867039594467614,0.9337659929927238,0.4827104364516458,0.056657499159963515
FAST2+SIFT_FAST2_reopt 1.5,14.71338931618683,0.5180732697012609,0.18987902805553572,252288,148446,117458,0.4655710933536276,0.7912506904867763,10.5,0.0,0.0,10.5,10.5,10.5,1.0,343823,1021.3739130434783,0.6423175151906251,1.0371129562815133,1.7356405593659898,4.983697203196347,0.4061962573856187,0.06617437214611872,0.002256125593829284,0.8834551297532213,0.5629575899169611,0.8671850438013852,0.8466446856137444,0.1562075223487912,0.6690321662466108,0.9600952165014599,0.883135580133134,0.9579910984968032,0.5343061868252494,0.05940529595614158
GFTT2+SIFT_GFTT2_reopt 2,30.41207542145979,0.5212306120271202,0.1996643827958211,242202,149133,120869,0.49904212186521996,0.8104778955697264,12.0,0.0,0.0,12.0,12.0,12.0,1.0,342702,1051.0347826086957,0.6507806736183659,1.0496463524770374,1.7245779431313524,5.743635477824295,0.5026599045247334,0.08078380855649417,0.0027715956945122406,0.8866871474686632,0.5870492407044905,0.869569076483813,0.8432051147352542,0.1429263813617714,0.648791427335448,0.9637107937099132,0.8890013285099729,0.9626078607178972,0.4606222062805366,0.04219406466823728
