combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
BRISK+BRISK 100,0,0.6876238010216564,0.20067797439222548,264832,193096,99324,0.37504531174480427,0.5143762687989394,21.201124604843617,11.203122354623334,0.5284211363044329,8.399999618530273,72.0,21.742520736282657,1.0255361987408607,338095,863.6869565217391,0.7268151133140448,1.0158972318886006,1.840696407045055,3.7249388291445142,1.1583907212758247,0.03708388714354761,0.009413636180580725,0.7882852792104138,0.4725787338132676,0.7852705169927585,0.63411643744697,0.10849211644652046,0.5945040630121197,0.6654595225861777,0.18754306663240208,0.7304856716230871,0.7769699443224469,0.11104223332824241
BRISK+ORB 100,0,0.6883224529982935,0.20066198563503607,266283,193087,92282,0.3465561075998092,0.47792963793523124,21.341191819156958,11.356518147921843,0.5321407653403708,8.399999618530273,72.0,21.73311667982188,1.0183647128982323,337835,802.4521739130435,0.7536079038755438,1.010917105393181,2.001277548798993,3.4918751854230274,1.198240176849223,0.032867287810337126,0.009427624022019462,0.7200906333884586,0.4354459975610477,0.7467052337010669,0.5308579009394817,0.09875214588862238,0.5511726782837078,0.49782429051249677,0.15649503447755936,0.6330723700994835,0.8611334728475051,0.10979642492900972
BRISK+SIFT 100,0,0.6876238010216564,0.20067797439222548,252374,193096,119665,0.4741574013170929,0.6197176533952024,20.898199303991134,11.803643875502836,0.5648163128221568,8.399999618530273,72.0,21.43876473700134,1.02586660339233,338095,1040.5652173913043,0.7668969476463141,1.0147941706091077,1.6668352647317148,5.371813261270971,1.458697196339782,0.0671978888475041,0.01378013621359629,0.8492903605909471,0.5509423597548767,0.8377349028662398,0.6742744934374937,0.13565672021979075,0.605049878855618,0.6761300978732574,0.25294685756570845,0.7724381659605238,0.7047887559955592,0.10585276508018807
FAST+BRISK 100,0,0.7031721739130435,0.1972557023137078,270725,202162,87358,0.3226816880598393,0.4321187958172159,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,759.6347826086957,0.7429731427545567,1.0189869962493903,1.8952627851235402,3.9162360328746884,1.3008768515762723,0.04171022255055869,0.011195311247968132,0.6701311897988041,0.40925702401983466,0.6902009360412134,0.495775978452895,0.0792712578130993,0.49381019054155184,0.4898590411836811,0.13503420709365052,0.5836753082359811,0.784949831199898,0.09742510914142467
FAST+ORB 100,0,0.7053147826086957,0.19557169718033388,269485,202778,109400,0.4059595153719131,0.5395062580753336,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,951.304347826087,0.6899641857670478,1.0252036004184313,1.9424559071846323,4.283733788522552,1.339926873857404,0.046622260979275285,0.012586837294332723,0.7184479531418152,0.5068064643487972,0.7823238673890737,0.4958050682978352,0.10384151846881583,0.6031423987741238,0.4137988846083403,0.1828327411520583,0.6488058881881615,0.6730298078591429,0.09268468373821424
FAST+SIFT 100,0,0.7011234782608695,0.19901184685315018,256670,201573,136625,0.5322982818404955,0.6777941490179736,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,1188.0434782608695,0.7228825567131485,1.027686076767737,1.5682392599140322,4.858094050726614,1.2003586459286368,0.06241477383410605,0.011293687099725527,0.8756522564206134,0.6160606572962776,0.8653614061271341,0.7789183684205766,0.1387216175623721,0.6346677522377243,0.7520107593322012,0.3180463613014529,0.7949024390728942,0.6839805915325705,0.12357078309963504
GFTT+BRISK 100,0,0.6828034782608695,0.20852449253721178,271677,196306,89747,0.3303444899641854,0.4571790979389321,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343603,780.408695652174,0.7405379578668633,1.0274103744697995,1.874053308406477,3.798713177780968,1.3434432348713605,0.038965389046551606,0.01230124683833443,0.6801110021428368,0.4072899146108371,0.6979720384420165,0.5151351187683934,0.07456629272393879,0.5161098825591653,0.5147495900277947,0.12577026301862207,0.5878138464029433,0.8029977333689668,0.06766750726051857
GFTT+ORB 100,0,0.6847860869565217,0.2078362762355761,266496,196876,112200,0.42101945244956773,0.5699018671651191,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343171,975.6521739130435,0.6903441793389167,1.0423996753401819,1.9052774673776296,4.335322106147935,1.3565864527629234,0.048117044908741594,0.013030303030303031,0.7293676781655907,0.5107325860053126,0.7854386280279514,0.5117436589548467,0.09652606060268376,0.6063314910292587,0.4186027622033854,0.17645423202116559,0.6466994918459379,0.6724052291906483,0.06398413614970276
GFTT+SIFT 100,0,0.6820904347826087,0.20872317134504426,263620,196101,119776,0.45435095971474093,0.6107872983819562,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343877,1041.5304347826086,0.6959310054704975,1.0495050952402447,1.561928611810662,3.9661899704119565,1.0660399412236174,0.045884227296866704,0.010010352658295484,0.8170786325148294,0.5479396837533779,0.8123685366071632,0.7017456235467862,0.10826431596498093,0.5799988406532468,0.6176809662473108,0.21172523229754855,0.6819821581776465,0.7227262820425605,0.11037715438333136
ORB+BRISK 100,0,0.6408732950509114,0.20507026316656163,232022,160484,100898,0.4348639353164786,0.6287106502828942,51.8953094080848,18.03248973314752,0.3474782198781578,31.0,111.0786361694336,52.978422277866784,1.0208711130569585,299751,877.3739130434783,0.72005869632148,1.02992257247596,1.7572892764298669,4.221849652188155,1.543618307597772,0.04371568213359078,0.013776288925449463,0.8395569792659549,0.47594282167598156,0.8005375997983875,0.7114721370327058,0.09793851078436111,0.6074004888528192,0.6948689329873493,0.24013393385548865,0.7540218043663566,0.7442964399429511,0.04393867449358153
ORB+ORB 100,0,0.6422476063067367,0.20244072342237027,271819,184456,106437,0.3915730688436055,0.5770319208917032,53.91114958902687,18.739252649326264,0.3475951225707209,31.0,111.0786361694336,55.03816935917008,1.0209051333302046,344299,925.5391304347826,0.7354239068985857,1.0315810553163867,1.9171100323166226,3.661631453283251,1.2820353824328006,0.03507848973029847,0.01008108082715597,0.7799226576493156,0.4335865682794832,0.7900266365160598,0.613470295171305,0.08561094928585343,0.6072273145006556,0.5533139005920978,0.16041507870025634,0.6744939224196813,0.8356872886377108,0.017345787347216902
ORB+SIFT 100,0,0.6422476063067367,0.20244072342237027,252171,184456,125503,0.4976900595231014,0.6803953246302641,52.758547287932466,22.070626971485265,0.41833272722680725,31.0,111.0786361694336,52.664623606608956,0.9982197447399203,344299,1091.3304347826088,0.7593451971448775,1.0475521050165617,1.595156443396074,6.253744482910406,1.8903930583332669,0.08451011416856022,0.01690796235946551,0.8170633542853433,0.5311389717159166,0.7785191357699014,0.6397560833708852,0.10609392301596814,0.4251455713865223,0.6263671492569223,0.28045291730206023,0.6657233104780488,0.5659456652020608,0.23056801303907937
SIFT+BRISK 100,0,0.6894948386554128,0.19283164932555613,257534,196413,81519,0.3165368456203841,0.41503871943303144,5.499037821538467,7.1193151670080255,1.29464742706866,1.7983053922653198,439.5990753173828,5.830024760592801,1.0601899731909343,340059,708.8608695652174,0.7040514542809092,1.003903075322755,1.9385250456600736,4.591160778770958,1.5941314294826974,0.049387653669030106,0.015027171579631743,0.6988207893885461,0.3855773242028335,0.6772558400090907,0.5324541240512367,0.08119015927743316,0.3736767028003888,0.5756418571373366,0.16374460304527158,0.6690499003100945,0.7045222864714905,0.08750218586315024
SIFT+SIFT 100,0,0.6881785828429305,0.19320840271918066,257846,196243,98561,0.38224754310712594,0.5022395703286232,5.6750049109781555,7.738204944722895,1.3635591626984376,1.7983146905899048,439.5990753173828,6.0497846696899815,1.0660404289671757,340725,857.0521739130435,0.6695497153751073,1.0113627248789763,1.6442430519841693,3.930830805984968,1.0842219539168636,0.043235109328824184,0.010440234981382088,0.7777515792384705,0.4583487995416649,0.807563354482927,0.582440794604718,0.08488668566710857,0.5921300362304678,0.5760643220319495,0.16345572415110504,0.6912171618264839,0.7021246442087737,0.09736137343384801
