trial,GFTT_qualityLevel,GFTT_minDistance,GFTT_blockSize,GFTT_k,value
1,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.15660232351298964
3,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.15660232351298964
5,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.15660232351298964
7,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.15660232351298964
9,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.15660232351298964
11,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.15660232351298964
21,0.06598654139229423,9.493966818808,10,0.3241253498541186,0.734579620954982
25,0.06598654139229423,9.493966818808,10,0.3241253498541186,0.734579620954982
32,0.06598654139229423,9.493966818808,10,0.3241253498541186,0.734579620954982
39,0.06598654139229423,9.493966818808,10,0.3241253498541186,0.734579620954982
46,0.06598654139229423,9.493966818808,10,0.3241253498541186,0.734579620954982
53,0.06598654139229423,9.493966818808,10,0.3241253498541186,0.734579620954982
55,0.12291619660993405,5.002251410101574,1,0.3640908792231977,0.13310390730274577
57,0.12291619660993405,5.002251410101574,1,0.3640908792231977,0.13310390730274577
59,0.12291619660993405,5.002251410101574,1,0.3640908792231977,0.13310390730274577
61,0.12291619660993405,5.002251410101574,1,0.3640908792231977,0.13310390730274577
63,0.12291619660993405,5.002251410101574,1,0.3640908792231977,0.13310390730274577
65,0.12291619660993405,5.002251410101574,1,0.3640908792231977,0.13310390730274577
69,0.08940400954986757,2.0402303379495375,1,0.1328308109822527,0.15283242781086084
75,0.08940400954986757,2.0402303379495375,1,0.1328308109822527,0.15283242781086084
78,0.08940400954986757,2.0402303379495375,1,0.1328308109822527,0.15283242781086084
81,0.08940400954986757,2.0402303379495375,1,0.1328308109822527,0.15283242781086084
85,0.08940400954986757,2.0402303379495375,1,0.1328308109822527,0.15283242781086084
89,0.08940400954986757,2.0402303379495375,1,0.1328308109822527,0.15283242781086084
92,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.7314209988693985
96,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.7314209988693985
98,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.7314209988693985
101,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.7314209988693985
104,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.7314209988693985
107,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.7314209988693985
108,0.006516595006478797,8.173068141702858,8,0.292686838544231,0.7023687327987129
109,0.006516595006478797,8.173068141702858,8,0.292686838544231,0.7023687327987129
110,0.006516595006478797,8.173068141702858,8,0.292686838544231,0.7023687327987129
111,0.006516595006478797,8.173068141702858,8,0.292686838544231,0.7023687327987129
112,0.006516595006478797,8.173068141702858,8,0.292686838544231,0.7023687327987129
113,0.006516595006478797,8.173068141702858,8,0.292686838544231,0.7023687327987129
120,0.032397756501047516,6.4004630715114255,4,0.2053939937012223,0.6334294775437409
