combination,cm_total: mean,rep_total: mean,total features,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval average_ratio mAP
ORB 1,43.546551724137935,0.21773275862068964,139200,116000,25257,10453,0.33313802915588775,0.11296453294047021,0.3367436256071002,0.2639574281090827,0.03234756636101447,0.23731390043719322,0.5014766473977862,0.30661562279562066,0.48441727891881736
ORB 2,43.58275862068965,0.21791379310344827,139200,116000,25278,10761,0.34001418277978945,0.11496073476491751,0.34488615300069836,0.27301272089603235,0.03283282249268251,0.2420251585484721,0.4992783212109901,0.32548207714526795,0.47126653958420806
