combination,speed [images/second],repeatability: mean [%],repeatability std,total number of matches,number of possible correct matches,total number of correct matches,ratio correct/total matches,ratio correct/possible correct matches, keypoint size: mean [pixels],size std,size normalized std,size min,size max,size unique count,size correct: avg,keypoint size correct/all ratio,total number of keypoints,correct matches per sequence: mean,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP [%],Matching average response mAP [%],Matching distinctiveness mAP [%],Verification distance AP [%],Verification average response AP [%],Verification distinctiveness AP [%],Retrieval distance mAP [%],Retrieval average response mAP [%],Retrieval distinctiveness mAP [%],distance-to-distinctiveness correlation
AKAZE+AKAZE 0.030625,0,0.023379674453144518,0.061526844482141636,255767,6390,5430,0.021230260354150456,0.8497652582159625,0.2827034607221907,0.14486410655371437,0.5124242419376344,0.1469999998807907,1.9777884483337402,112,0.3151058665955264,1.1146162335280967,327462,47.21739130434783,110.37838340739317,0.3156402086024153,1.0881017337156107,0.40667243407415044,0.9539520873231285,2.345750553501224,3.2386664425043103,7.345623788168159,0.03167587476979742,0.4153038669949914,0.031735915892198756,0.0,0.08834347486980502,0.03636831210772214,0.08811961141812241,0.2540653220735961,0.021616095735365576,0.22334547046902908,0.9302795286929958,0.7667409549315387,0.9396700201372461,0.6014218025321939
BRISK+BRISK 0.030625,0,0.06981643954764892,0.11517675223535917,264832,19566,14070,0.05312802078298695,0.7191045691505673,0.6492844387570328,0.3430956161797439,0.5284211290148182,0.25724998116493225,2.2049999237060547,248428,0.7337837539936264,1.1301422153260843,338095,122.34782608695652,200.2490641992252,0.42851800889406083,1.0024799586293405,0.34555662534608506,0.880354847408985,2.547642796682841,3.7249388291445142,7.81982128412173,0.08578535891968728,0.8040169703955284,0.03708388714354761,0.00014214641080312722,0.23329575301161515,0.08306138414014683,0.2112053145641232,0.4159850020491437,0.04208418278011378,0.33033260674577725,0.971204609232465,0.7575525308454819,0.9736147471748625,0.6309412393360454
ORB+ORB 0.030625,0,0.16991113234591493,0.15823474489398814,271819,48791,27725,0.10199802074174359,0.5682400442704597,1.6510289574018397,0.5738896202490974,0.3475951270728802,0.9493749737739563,3.4017832279205322,36,1.7505532922499667,1.060280187335263,344299,241.08695652173913,265.6314074285576,0.4806496371864522,0.9905918999780097,0.2060247836965094,0.6111912038124538,2.9665906831519173,3.661631453283251,7.627112252563949,0.11971145175834084,0.9323303882253555,0.03507848973029847,0.00021641118124436428,0.39157008517856845,0.11775977473316077,0.3974204669707276,0.5315427716900755,0.055503433979845467,0.49632260886935,0.9394201189751369,0.6863465438170576,0.9545492010047594,0.7184949342749856
SIFT+SIFT 0.030625,0,0.01232455053756141,0.03527567759244152,257846,3533,3368,0.01306206029955865,0.953297480894424,0.17379702542015568,0.23698252630202954,1.363559161781523,0.05507338605821133,13.462721824645996,238895,0.28613012348303923,1.6463464940859454,340725,29.286956521739132,70.54480724948984,0.25282673144415946,1.0315486071896283,0.4893938256997474,0.9854918477388729,2.0136989802227117,3.930830805984968,8.399781983923466,0.02672209026128266,0.49570453349137006,0.043235109328824184,0.0,0.10242367795974383,0.029940967961557034,0.07270670768943678,0.32431155925142463,0.01155634227638356,0.16368536500457276,0.8615639053368457,0.7738736590549533,0.8741329352230212,0.4878793449851068
AKAZE+AKAZE 0.06125,0,0.05621679572119344,0.10760933218153869,255767,15103,12208,0.04773094261574011,0.8083162285638615,0.5654069214443814,0.28972821310742874,0.5124242419376344,0.2939999997615814,3.9555768966674805,112,0.6040483698246422,1.0683427225856164,327462,106.15652173913044,175.97418740082296,0.35671232669878905,1.0332976637289601,0.40667243407415044,0.9383291060177343,2.3073339311870953,3.2386664425043103,7.345623788168159,0.041693971166448233,0.602785268024745,0.031735915892198756,0.000163826998689384,0.18537876680511708,0.0749746544139083,0.18081162163380404,0.39023112249430336,0.03894965407363304,0.33912657517288314,0.9569967874515811,0.7680489065868848,0.96037003295806,0.6877409412257451
BRISK+BRISK 0.06125,0,0.13341555270907504,0.15110181192168115,264832,37372,25393,0.09588342798453359,0.6794659103071818,1.2985688775140656,0.6861912323594878,0.5284211290148182,0.5144999623298645,4.409999847412109,248428,1.4511940866815558,1.1175333952710083,338095,220.80869565217392,254.49817273290122,0.4757490551952436,0.9960173984584155,0.34555662534608506,0.8590364250740429,2.485949804069573,3.7249388291445142,7.81982128412173,0.10077580435553105,0.8748109306597466,0.03708388714354761,0.00019690465876422635,0.38531656565729705,0.14579084998750166,0.36654232303797923,0.525154987672513,0.06481558668499968,0.46875858588522284,0.9704965375832401,0.764909070892408,0.9742898359891632,0.6463393284248916
ORB+ORB 0.06125,0,0.25183094123268035,0.17585603924494672,271819,72329,43370,0.15955470368149394,0.5996211754621245,3.3020579148036795,1.1477792404981948,0.3475951270728802,1.8987499475479126,6.8035664558410645,36,3.525099902020255,1.0675463583532683,344299,377.1304347826087,276.42432793392845,0.5271522466648589,0.9642223796412109,0.2060247836965094,0.5707485586028055,2.7702907794023592,3.661631453283251,7.627112252563949,0.15381600184459304,1.0455489223542238,0.03507848973029847,0.0003228037814157252,0.5620229730961124,0.181433654508576,0.5684818258767931,0.60923937800596,0.06768695584267523,0.6100653072545772,0.9373067101043576,0.7046336322032526,0.9504710890211077,0.7161331533363582
SIFT+SIFT 0.06125,0,0.030698133264894147,0.06664098603607596,257846,8788,8235,0.03193766822056576,0.937073281747838,0.34759405084031136,0.4739650526040591,1.363559161781523,0.11014677211642265,26.925443649291992,238895,0.5618186490733513,1.6163068605896744,340725,71.6086956521739,130.46003523666107,0.3050585287735341,1.0129205113215176,0.4893938256997474,0.9829084782621367,2.00842026737209,3.930830805984968,8.399781983923466,0.02477231329690346,0.43145120869831993,0.043235109328824184,0.0,0.17572270695404527,0.058305513526561645,0.15534495708545284,0.4164200145078553,0.025214079638265538,0.26758864096084445,0.922192731507013,0.7978149573604082,0.9185850548480045,0.49679593893790946
AKAZE+AKAZE 16,0,0.6321597390281335,0.21359760103878137,255767,171165,96232,0.3762486951014009,0.5622177431133701,147.69813651218115,75.68410545734926,0.5124242407155039,76.80000305175781,1033.2935791015625,112,152.4300979021551,1.0320380574983334,327462,836.8,350.4637722392628,0.620433661382838,1.032901860913999,0.40667243407415044,0.7875908850648704,1.9366714315366294,3.2386664425043103,7.345623788168159,0.34570620999251805,2.1793518353610644,0.031735915892198756,0.0021406600714938898,0.8673806617809957,0.4657350067280327,0.8809320338189128,0.7327454916061692,0.09181732511711382,0.73789217476464,0.8614636877347445,0.40584457220218834,0.8867242458723688,0.7767125219694752
BRISK+BRISK 16,0,0.6663655054099887,0.2120979700401082,264832,187149,93786,0.3541339415176414,0.5011301155763589,339.2179936774979,179.24995767397334,0.5284211363044329,134.39999389648438,1152.0,247675,357.78987592983043,1.0547491070594246,338095,815.5304347826087,356.39424486006527,0.7008334313967092,1.0210995456188914,0.34555662534608506,0.6630048520533154,1.9186576191074232,3.7249388291445142,7.81982128412173,0.9470603288337278,3.872672450180837,0.03708388714354761,0.007154585972319962,0.7957582319072076,0.4551104713594965,0.7937362716848855,0.6575205014792922,0.11192885380037945,0.620758518039624,0.7106780157968672,0.21240712300519013,0.7678276622428465,0.7615114818198948
