combination,rep_total: mean,total features,total num matches,num possible correct matches,total correct matches,size: mean,size: std,size: min,size: max,size: unique count,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP
SIFT1,0.12019827586206895,139200,116000,13943,10824,4.628171090986365,8.034681671434608,1.1224678754806519,282.8077087402344,97294,0.3132809845125016,0.13557886930574045,0.36163912000028836,0.336400811843667,0.0619941458200328,0.3551950611870047
SIFT2,0.14612957929579098,139003,115706,16914,13621,7.033987298627229,11.541262996121718,2.244933843612671,392.4516296386719,100186,0.3601611245581331,0.16405032380021087,0.39352845064650777,0.37631937994986636,0.05719454997677266,0.3875437618676433
SIFT4,0.16959483553883017,135736,112044,19111,15694,11.852122598945156,15.318444129777554,4.49008321762085,581.597412109375,103175,0.41124818254614676,0.1997912416521332,0.43239844977899183,0.4087590735202623,0.06101864050814672,0.41068201839509755
SIFT7,0.19316871514190745,126431,103117,19215,15307,18.129938497991468,19.102227200685252,7.857258319854736,569.191162109375,99397,0.4318985297577262,0.22208614563951024,0.4469058674407012,0.4189407570948666,0.0624511237528731,0.42184838531232366
SIFT10,0.19858930520705118,112528,90226,16094,12231,24.138046566324384,22.771322952901283,11.224650382995605,772.8648681640625,90437,0.42957161711561,0.2266796275458466,0.44511276778082004,0.41986689526983156,0.06383171391578825,0.42401070777694966
SIFT15,0.20703130874201228,86518,67389,11614,8278,33.387903477961025,27.669333228592397,16.837282180786133,742.8334350585938,70238,0.4366596134997909,0.23407081263993115,0.4499891101310307,0.43209547304897955,0.07329438960422105,0.42927591917633096
SIFT25,0.214144287168719,42363,31792,5801,4040,52.26185779397291,37.86739398539048,28.063142776489258,825.889404296875,34634,0.45692087818019556,0.259380704325971,0.4588476575999341,0.4419238721119887,0.08672493549206192,0.4299155558572263
SIFT35,0.20960055379352718,22322,16317,3192,2286,70.19206495227785,45.465961023419275,39.289703369140625,895.9797973632812,18410,0.47038355044299446,0.2763163502314265,0.47001709422911186,0.48055523282982265,0.1018369731820237,0.4540539533510382
