combination,speed,repeatability mean,repeatability std,total num keypoints,total num matches,num dropped keypoints,num dropped matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,correct matches per sequence: avg,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >50 / all,ratio rank >50 correct / rank >50,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
AKAZE+AKAZE,0,0.5472319019897662,0.20123384985622564,327462,260449,17538,27051,147902,89175,0.3423894889210556,0.6029330232180768,775.4347826086956,9.234643938612367,4.725343138180643,0.5116973832009696,4.800000190734863,64.58084869384766,9.32381774275651,1.0096564420606717,0.5747804732813662,1.0223278499632593,2.0803476184719094,4.594170067844376,0.1698233809924306,0.020545289096905728,0.00017942248388001122,0.8842372707141262,0.8714722177005217,0.45704734562057986,0.40534188199467536,0.8921592839619598,0.8890531017563674,0.7474763470046799,-0.026093160265033694
ORB+ORB,0,0.48011096034400375,0.20941075901716377,344299,277957,701,9543,137897,81218,0.2921962749633936,0.5889758297859997,706.2434782608696,53.89735289077041,18.691429970468015,0.3467968085250585,31.0,111.0786361694336,55.442226149377184,1.0286632492274277,0.60803667608997,0.9846191106863909,2.4736065986348468,5.20267883161784,0.3844837351326061,0.02264379022654583,0.0004678765790834544,0.798406085763057,0.8233982677722783,0.3455274937134267,0.3321782581769176,0.8176861040739453,0.8410068736458655,0.787931394790613,-0.006965578387033842
SIFT_OPTIMAL+SIFT_OPTIMAL,0,0.43232890212504776,0.16441690364500017,303617,236483,41383,51017,110058,79237,0.335064254090146,0.719956750077232,689.0173913043478,11.300247584319715,11.339078848148034,1.003436319738888,4.494612216949463,497.1507873535156,11.367539477868572,1.0059549043546827,0.5252918059072457,1.0371076134338977,1.8413076541243412,4.976044789688899,0.10137940608554084,0.02408629795799275,0.00013882403422643463,0.8641423157039194,0.8972893498967552,0.43842413972355426,0.43259144475644645,0.8858120846225164,0.9270983352658501,0.6448337940415813,0.055683445794159424
AKAZE+AKAZE V,0,0.5472319019897662,0.20123384985622564,327462,259242,17538,28258,147902,111488,0.4300537721511175,0.7537964327730524,969.4608695652174,9.243316579446837,4.858978347784171,0.5256747733371429,4.800000190734863,64.58084869384766,9.308511913840656,1.0070532404503796,0.5781855505326493,1.0728002094376905,1.8296198019541097,4.547808611258978,0.16389207807118256,0.021169409277817637,0.00019733065442020665,0.9260288604438066,0.8839394152384012,0.609034870195593,0.49458163834008434,0.9276261955472894,0.8853801931728794,0.7133699562564296,-0.00959490127251506
ORB+ORB V,0,0.48011096034400375,0.20941075901716377,344299,271398,701,16102,137897,98038,0.3612333178579061,0.7109509271412721,852.5043478260869,53.91324656586609,19.21993750893511,0.3564974979841738,31.0,111.0786361694336,55.521984825534275,1.0298393875743095,0.5583974334802876,1.013043375389309,2.237699464392061,7.243693763402826,0.5268365327730063,0.03859276781700676,0.0008568106244517432,0.8329365858565245,0.7965576822925964,0.45582541665040105,0.3801191193246049,0.8792112341997959,0.8316200603624891,0.6019819479441987,-0.01209956132053355
SIFT_OPTIMAL+SIFT_OPTIMAL V,0,0.43232890212504776,0.16441690364500017,303617,234457,41383,53043,110058,85369,0.36411367542875667,0.7756728270548257,742.3391304347826,11.337853011368374,11.632598346122432,1.0259965739949635,4.494612216949463,497.1507873535156,11.347693831802014,1.0008679615464915,0.5342549578779242,1.0406586994196785,1.8312668319747145,5.839561198855227,0.16657100352587004,0.03007374486579629,0.00031627405732760134,0.8893274118404184,0.8960299426014106,0.49426681149276586,0.4467186061633833,0.8220975281608223,0.8143091811615208,0.3698556034401897,0.06079060370345546
SIFT+SIFT V,0,0.45168919601198193,0.17528948241755726,340725,262349,4275,25151,128747,84305,0.3213467556575402,0.6548113742456135,733.0869565217391,5.689742440682972,7.876186964264407,1.3842782949097752,1.797132134437561,439.5990753173828,6.119509729729041,1.0755336983222885,0.529531866582305,1.0139119698163435,1.9699354501671513,7.330433887683963,0.26841824328331654,0.04213471368291855,0.0005693612478500682,0.8196545052387538,0.8408181812862187,0.419314694548902,0.4128632318849521,0.7618760219378391,0.7691353780800896,0.338212701727914,0.0643573044406256
SIFT+SIFT,0,0.45168919601198193,0.17528948241755726,340725,264964,4275,22536,128747,75880,0.2863785268942196,0.5893729562630585,659.8260869565217,5.660092331607068,7.694773623903951,1.359478463087046,1.7983146905899048,439.5990753173828,6.190805305245209,1.0937640134728077,0.5370011738502065,1.0065802728393534,1.9622221844342473,6.020900952582237,0.1859778597785978,0.03225721230053894,0.00046125461254612545,0.7507996221380878,0.8163341709613462,0.36270105188584534,0.3811134711144151,0.8266260580814981,0.8793476756649076,0.5947972384318693,0.048805669775295234
