combination,speed,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval average_ratio mAP
SIFT 2,1.140693970976977,3.5689655172413794,4.904298146438058,0.0356896551724138,0.04904298146438058,58000,2070,377,0.12609662385402726,0.021046167103011923,0.17131961555227812,0.16660646878447122,0.03088557619640674,0.18679905650448891,0.3152924506648447,0.16107996756726314,0.3193601792639503
ORB 2,0.042954657758616184,13.23793103448276,16.57392871231082,0.1323793103448276,0.1657392871231082,58000,7678,2937,0.2828463608299197,0.07393278279432672,0.29849167413857525,0.23234723465606794,0.03136590137208338,0.22062217843044013,0.40694545692504414,0.2568518817526857,0.3929228463106103
SIFT 1.5,0.5793906877874017,5.348275862068966,6.28622581191472,0.05348275862068966,0.0628622581191472,58000,3102,402,0.1720380041544181,0.03439456242267638,0.2225410623291409,0.17981008802943685,0.021226617805086192,0.18267669700007383,0.3281990118250556,0.149304906408126,0.35307963002734216
ORB 1.5,0.025843999425289397,15.01896551724138,18.07354665208292,0.15018965517241378,0.18073546652082925,58000,8711,3388,0.2988425918200108,0.08593254521405949,0.31734649570550366,0.2580313999794002,0.033711387216430085,0.2369221406275641,0.4448719799507159,0.2677405172395246,0.42247125337736624
SIFT 1,0.2475943683907749,9.025862068965518,8.980305277524076,0.09025862068965518,0.08980305277524075,58000,5235,774,0.17679207332773703,0.03488369750533635,0.22956232919919553,0.18162505182944014,0.025872000688114415,0.21993136685064757,0.36161310599552915,0.1848715732583278,0.3818725552094687
ORB 1,0.012902390804583774,18.122413793103448,20.24455263558526,0.18122413793103448,0.2024455263558526,58000,10511,3962,0.30045567628407344,0.09458832650480054,0.3094323690569865,0.2436269806106628,0.036356975810512386,0.226837072489361,0.45101792493360143,0.2705848764042809,0.4357646944025927
SIFT 0.5,0.055527903448252286,19.236206896551725,16.205609908575425,0.19299583828775269,0.16342290298992368,57782,11157,2204,0.27347923447808065,0.057164918182967345,0.31060853830835244,0.25865431984558795,0.020309362312457013,0.2789410999705674,0.4375670679456509,0.1998488502527251,0.43319526597973046
ORB 0.5,0.005223095402308754,26.06896551724138,24.210757133943808,0.2606896551724138,0.24210757133943808,58000,15120,5065,0.3105406098282302,0.10538752420229276,0.31347381552667725,0.23503402119474312,0.028051835333426336,0.20913230250285667,0.39888850789316954,0.201950438521,0.3839931783645977
SIFT 0.2,0.010664595258626884,29.351724137931033,26.173698573708464,0.3261628409762068,0.29335949794311833,53379,17024,5716,0.37577035361421723,0.16414975873518867,0.3894551095144537,0.29738449284660423,0.038285162935310625,0.30303791752633463,0.4610859898114643,0.21483269602061247,0.45831113729711476
ORB 0.2,0.0018697064655283945,33.063793103448276,33.35526220323938,0.372726360451907,0.36722929289597084,53986,19177,8395,0.3590799246868159,0.1996129532926575,0.35227495414364585,0.24993437577155625,0.03684456719323155,0.19598625466637995,0.3533067964948212,0.17561664299779942,0.35163652372258725
