combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
BRISK+BRISK 0.06125 5,0,0.4092890286771508,0.19476768480594103,133526,58803,31214,0.23376720638677112,0.5308232573168036,1.3106548585752165,0.7230065029678254,0.5516376017968526,0.5144999623298645,4.409999847412109,1.2997037129620002,0.9916445236962529,172243,271.4260869565217,0.5945971271276084,0.9995317601899163,2.326409212107565,4.532180998457229,0.335842891010444,0.05163788325869119,0.0013775869802011918,0.6899113502491722,0.32567151373647735,0.6861773431699917,0.600255507294117,0.08504557138271475,0.5471450856924466,0.8426130135569642,0.6021307388971064,0.859599649247449,0.5945943105334913,0.05263857619049167
GFTT+BRISK 0.06125 5,0,0.4293217391304348,0.20945426180500545,137438,61715,31587,0.22982726756792154,0.5118204650409138,0.1837500035762787,0.0,0.0,0.1837500035762787,0.1837500035762787,0.1837500035762787,1.0,172500,274.6695652173913,0.5908183708089537,1.0051502437067719,2.283413910915592,3.7795806108936394,0.19080634438218255,0.039137647521064044,0.0006648304682306011,0.7130157277557119,0.3161980326029095,0.7371231152715669,0.662586065036611,0.07701420134375055,0.7039625154438887,0.8824946095690422,0.6052257070922126,0.880930482066795,0.7358610627894375,0.0038400122556408586
ORB+BRISK 0.06125 5,0,0.3882295652173913,0.21519677425007339,132351,55808,31299,0.23648480177709272,0.5608335722477065,2.808177629344161,1.0122367650299318,0.3604603763139926,1.8987499475479126,6.8035664558410645,2.838757244349402,1.0108894874333083,172500,272.16521739130434,0.600943129578814,0.9579775013405016,2.225496068059188,4.89153085356363,0.5677178184606537,0.05601771048197596,0.002076743665931819,0.6858881166977373,0.2852307374103823,0.6120542003875428,0.5918819172026499,0.07258003114943092,0.4643751513415695,0.8134771479772139,0.5508963859959402,0.8280778950496279,0.5429530902354253,-0.011186585351888175
SIFT+BRISK 0.06125 5,0,0.34647652173913046,0.17234380922796746,133075,49806,25886,0.1945218861544242,0.5197365779223386,0.3593960253394918,0.47174099233560063,1.3125937936847962,0.11014620587229729,12.572828531265259,0.3090913418591492,0.8600299393049106,172292,225.09565217391304,0.5415926215117332,0.9927130690267565,2.463509044448669,4.849355626526395,0.3034845090010044,0.05275972196130002,0.0016224986479177934,0.6960112757120153,0.275020731912721,0.6289309758005945,0.6525227525024577,0.07210441565843706,0.46333079194447646,0.8658564398358902,0.5901927668528684,0.8326034957281351,0.5078054314134463,-0.014159571867273079
BRISK+BRISK 0.125 5,0,0.4092890286771508,0.19476768480594103,133496,58803,31310,0.2345388625876431,0.5324558270836522,2.675761266703884,1.4837688260180222,0.5545221259016846,1.0499999523162842,9.0,2.6691980144536673,0.9975471458041167,172243,272.2608695652174,0.5943700384228895,0.9993905097070188,2.325486559184823,4.554421106250374,0.3375279463430214,0.05207646671061305,0.0014691791759821144,0.690588057823333,0.32641954060420975,0.6875803195891538,0.6008277320690621,0.08525691028248243,0.5488566933094071,0.8420172832801026,0.6037276479024064,0.8644007959424992,0.5953631684147308,0.05439403318415855
GFTT+BRISK 0.125 5,0,0.4293217391304348,0.20945426180500545,137438,61715,31587,0.22982726756792154,0.5118204650409138,0.375,0.0,0.0,0.375,0.375,0.375,1.0,172500,274.6695652173913,0.5908183708089537,1.0051502437067719,2.283413910915592,3.7795806108936394,0.19080634438218255,0.039137647521064044,0.0006648304682306011,0.7130157277557119,0.3161980326029095,0.7371231152715669,0.6637254307943748,0.07716713318942452,0.7037446043960566,0.8813772460422844,0.6133954000725355,0.8778439442919718,0.7358610627894375,0.0038400122556408586
ORB+BRISK 0.125 5,0,0.3882295652173913,0.21519677425007339,132143,55808,32450,0.24556730208940314,0.5814578555045872,5.729985660120017,2.0215557449674044,0.35280293265604123,3.875,13.8848295211792,5.945512894033834,1.0376139220406535,172500,282.17391304347825,0.6006157789500657,0.9472196179201257,2.2115863944623277,4.798339677470619,0.5266563944530046,0.0551145350113135,0.0016024653312788906,0.7096881419918449,0.29418648278283605,0.6373691929662186,0.6196655405940411,0.0740178326350437,0.483777880262498,0.8394259226443674,0.5736465411612045,0.852480484340568,0.5657090969251842,-0.02167506173209687
SIFT+BRISK 0.125 5,0,0.34647652173913046,0.17234380922796746,133092,49806,25893,0.19454963483905868,0.519877123238164,0.7339963030402704,0.9758753241481367,1.3295371108900473,0.22478817403316498,26.517164707183838,0.6337964133312122,0.8634872011016644,172292,225.15652173913043,0.5416182981684486,0.9926569620007418,2.465112828331447,4.851854356385057,0.30008110300081103,0.05304601328404412,0.0015834395396439192,0.696438160298736,0.2751206513017477,0.6296650623045631,0.6543374381112629,0.07240257447637327,0.4632177863667396,0.8638050629753142,0.5880464525195634,0.8359225316946827,0.5070853800749158,-0.013107819410921805
BRISK+BRISK 0.25 5,0,0.4092890286771508,0.19476768480594103,133124,58803,32626,0.245079775247138,0.5548356376375355,5.354735695407037,2.946769908982529,0.5503109913548276,2.0999999046325684,18.0,5.5761332614208605,1.0413461239933326,172243,283.704347826087,0.5933181133505783,0.9960454577621758,2.304372265834703,4.528642468675821,0.33510083982100164,0.05231213004416935,0.001409918469931956,0.7217311390981408,0.33903889519139285,0.7180263202685947,0.6220272000431566,0.0870880503853443,0.5614457189827291,0.8729960505858398,0.6357368775281449,0.8896260706389856,0.609657499680522,0.07078615214131796
GFTT+BRISK 0.25 5,0,0.4293217391304348,0.20945426180500545,137438,61715,31587,0.22982726756792154,0.5118204650409138,0.75,0.0,0.0,0.75,0.75,0.75,1.0,172500,274.6695652173913,0.5908183708089537,1.0051502437067719,2.283413910915592,3.7795806108936394,0.19080634438218255,0.039137647521064044,0.0006648304682306011,0.7130157277557119,0.3161980326029095,0.7371231152715669,0.6652511723635567,0.07694345837470365,0.7033560737269637,0.8816328737437256,0.6037061299436525,0.8820231730083125,0.7358610627894375,0.0038400122556408586
ORB+BRISK 0.25 5,0,0.3882295652173913,0.21519677425007339,134749,55808,36196,0.26861794892726476,0.6485808486238532,11.449654627710112,3.994496503958204,0.3488748467827879,7.75,27.7696590423584,11.992775452968257,1.0474355640338442,172500,314.74782608695654,0.5886595532543961,0.9537017650221233,2.2036434464281265,4.355601896860088,0.3085147530113825,0.048356574074761224,0.0006630566913471102,0.7901165883333486,0.3226821725449534,0.7492933970618483,0.7118393323461917,0.08269143925373332,0.6197564337499789,0.9096048661141372,0.6280651112840181,0.9156889133976197,0.6193535441856837,-0.003159962842845818
SIFT+BRISK 0.25 5,0,0.34647652173913046,0.17234380922796746,133047,49806,26019,0.19556247040519514,0.5224069389230214,1.4693836333970578,1.9633328855288907,1.3361608506485643,0.44957634806632996,50.898587226867676,1.326853777571692,0.9030002426964209,172292,226.2521739130435,0.5427067471383211,0.9917289890439792,2.458718395850794,4.838681067592655,0.29559168300088395,0.05289108360203537,0.0015757715515584765,0.6960726189823546,0.27609451468027474,0.6309688830473295,0.6521539169711206,0.07248750555538626,0.46295714197032056,0.8594756312344399,0.5928397361058716,0.8354722046574075,0.5053329628641019,-0.014107471146132157
