combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,Verification distance AP illumination,Verification distance AP viewpoint,Verification average_response AP illumination,Verification average_response AP viewpoint,Verification distinctiveness AP illumination,Verification distinctiveness AP viewpoint,Retrieval distinctiveness mAP illumination,Retrieval distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
FAST2+SIFT_FAST2,0,0.39480398093543023,0.19909823667538196,215482,113362,86922,0.4033840413584429,0.7667648771193168,10.5,0.0,0.0,10.5,10.5,10.5,1.0,301449,755.8434782608696,0.6706338451014374,1.0424576223121893,1.859719424672793,5.337624488356336,0.4251282759255424,0.06961602361218107,0.0019327673086215228,0.9094361320878427,0.7748315876479073,0.6079169830406749,0.41924030535011636,0.8835214798052272,0.7462601139775781,0.851452357359513,0.7102355021522921,0.1282057779349538,0.10615205874864617,0.6307004823294907,0.5523136128649375,0.9645272733611885,0.9100758449413714,0.506586438162118,0.1896670713574839
GFTT2+SIFT,0,0.45038884029432535,0.18798103915274075,241641,128710,97908,0.4051795845903634,0.7606868153212648,9.0,0.0,0.0,9.0,9.0,9.0,1.0,342216,851.3739130434783,0.6939225509946383,1.060458720472824,1.913756986809431,6.004548069243216,0.5164337949912162,0.08143485583986161,0.0026351268537811007,0.9018276086157,0.7478927635252612,0.6061947411462147,0.40888328422438125,0.8980722440317226,0.738329924482586,0.8227640236240772,0.6706782731821266,0.12042122243443172,0.09009727524002578,0.6632832688270478,0.5931287154507485,0.975003197227357,0.8896819278942977,0.5249701606480394,0.18303042451849105
ORB+ORB,0,0.41206960344003823,0.19675092762055116,259290,118345,63390,0.24447529792895986,0.5356373315306941,81.62367732912995,27.90244014488678,0.34184247828453235,46.5,166.61795043945312,87.50042339203993,1.0719980556525683,330267,551.2173913043479,0.6412935287754241,0.9665821561796502,2.4716683723260413,3.6267268309614717,0.406010411736867,0.033807705657757724,0.0012304779933743494,0.7403113028077739,0.7744475657354896,0.3020355674249594,0.2868682925896986,0.7534096113751934,0.790203176950959,0.6101199753453076,0.6110567552885843,0.06201137956065661,0.06704404472280381,0.5934115595362685,0.6408886232510572,0.8166480401058712,0.9043579388310238,0.7456901454784454,0.02716416977175966
ORB+SIFT,0,0.41206960344003823,0.19675092762055116,237683,118345,59977,0.25234030199888086,0.5067979213316997,79.66918651221157,33.07469207974019,0.4151503677606969,46.5,166.61795043945312,78.39192761356759,0.983967968614212,330267,521.5391304347826,0.6372258636127269,1.0272056787430937,2.0437403972124057,6.58830459056811,0.7395835070110209,0.08997277886933437,0.004118245327375494,0.678126856059953,0.5805826534770357,0.3473691062813686,0.27105982651220617,0.5881962896092496,0.5171054488232824,0.6542368338617454,0.47326521742081296,0.07104321775864504,0.06566078836038294,0.38267340074637646,0.3078018172224151,0.8755519605185152,0.8087349236547207,0.4513117166116592,0.11370374546245475
SIFT+SIFT,0,0.3405598274419109,0.16131136715396752,238090,97015,48781,0.2048847074635642,0.5028191516775756,11.800352463558403,13.445351592400852,1.1394025419090237,2.698768377304077,659.3501586914062,13.048031436180253,1.1057323479510384,317846,424.18260869565216,0.5797952214834212,1.054562672613049,2.207933738008002,4.5929438447645845,0.17191119493245322,0.052526355579822756,0.0007789918205858839,0.7321997895319586,0.8035569444608003,0.327936053869605,0.35936972317843047,0.7833735554457123,0.8411814551249635,0.5955633782690934,0.7111241000213073,0.04953995617615378,0.08516974358523252,0.6747372807855092,0.7802336997881243,0.8684674511789462,0.9064654383898573,0.7558006141349225,0.18299335370121755
