combination,speed,repeatability mean,repeatability std,total num keypoints,total num matches,num dropped keypoints,num dropped matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,correct matches per sequence: avg,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >50 / all,ratio rank >50 correct / rank >50,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
SHI_TOMASI_SIFT+SHI_TOMASI_SIFT CA,0,0.5159234782608697,0.200969669496337,343888,270446,1112,17054,148328,95261,0.35223667571345113,0.6422320802545709,828.3565217391305,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6218729391440325,1.0594949893083698,1.0218791031181949,7.219145411653343,0.274267538656953,0.043150943256694496,0.0003779091128583576,0.8653981155217725,0.7132761735331163,0.5497543224196175,0.37872640877202146,0.8902271509238544,0.7310411270055203,0.8697434967785926,0.0637272026571768
SHI_TOMASI_SIFT+SHI_TOMASI_SIFT hist,0,0.5159234782608697,0.200969669496337,343888,270860,1112,16640,148328,94692,0.3495975780846194,0.6383959872714524,823.408695652174,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6210455692701634,1.0579280071844945,1.0215982333097822,7.244059661817913,0.28989777383517085,0.043129291885106696,0.00041186161449752884,0.8608491680779407,0.7018828356905674,0.5451756247450321,0.3753942269106313,0.8856246346697115,0.7241084752670892,0.8621129101033572,0.07289369447546977
SHI_TOMASI_SIFT+SHI_TOMASI_SIFT fixed,0,0.5159234782608697,0.200969669496337,343888,270860,1112,16640,148328,94692,0.3495975780846194,0.6383959872714524,823.408695652174,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6210455692701634,1.0579280071844945,1.0215982333097822,7.244059661817913,0.28989777383517085,0.043129291885106696,0.00041186161449752884,0.8608491680779407,0.7018828356905674,0.5451756247450321,0.3753942269106313,0.8856246346697115,0.7241084752670892,0.8621129101033572,0.07289369447546977
SHI_TOMASI_SIFT+SHI_TOMASI_SIFT fixed 2,0,0.5162191304347825,0.20077723926765081,343885,270812,1115,16688,148413,94717,0.34975185737707337,0.6381988100772843,823.6260869565217,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6212345822421921,1.0576222648144666,1.0215862236812112,7.226917566429848,0.2902224521469219,0.04303723616383321,0.00040119513920415555,0.8612013770994472,0.7018239419260703,0.5448414621145347,0.3758374582072299,0.885973600936216,0.7240613094306638,0.8629643125644271,0.07292935976012031
SHI_TOMASI_SIFT+SHI_TOMASI_SIFT reverted 500,0,0.5162191304347825,0.20077723926765081,343885,270416,1115,17084,148413,95272,0.3523164309804154,0.6419383746706825,828.4521739130435,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6219933648905868,1.059035314161668,1.0218740914083615,7.220567569966274,0.27458224871945586,0.04327406662327673,0.00039885800654966834,0.8653224299436983,0.7131095170299843,0.5491720634161836,0.37915057704355914,0.8904186132375227,0.7307944490724191,0.8696717753127442,0.06350794577959275
