combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
SIFT SIG 4.8+SIFT SIG 4.8 0.125,0,0.5508177734922581,0.17968232740284013,122317,75265,23518,0.19227090265457786,0.3124692752275294,1.6746707739735638,1.498678311897622,0.8949092174945187,0.6753777265548706,55.26838493347168,1.6735758097860236,0.9993461615234724,163288,204.50434782608696,0.5741006851030234,1.0015821145415766,1.5698678975504383,3.165038383871416,0.3746492048643592,0.0357104899564247,0.0019134280125861043,0.435042596934634,0.2564001469485849,0.43381062172511264,0.22906097631891215,0.04779158822893694,0.08888202908951925,0.38515304266391504,0.215901398383344,0.37387468357117803,0.43034382001241545,-0.011857071885497015
SIFT SIG 4.8+SIFT SIG 4.8 0.25,0,0.5508177734922581,0.17968232740284013,122282,75265,31170,0.25490260218184196,0.4141367169335016,3.348236676371641,3.048997554395031,0.9106278465652302,1.351000428199768,110.53676986694336,3.381310785610323,1.0098780679012582,163288,271.04347826086956,0.5416716191728816,1.0138853285047182,1.6503045997888688,3.208109124809866,0.29287776708373436,0.034960174023977365,0.0016361886429258903,0.623483665993867,0.33483825241867543,0.6138774101385228,0.41003832104051086,0.06162610226204901,0.1928676054113703,0.6122010999893579,0.35191907265851646,0.623325726603624,0.4444083387988766,0.05254928550858303
SIFT SIG 4.8+SIFT SIG 4.8 0.5,0,0.5508177734922581,0.17968232740284013,122953,75265,40033,0.32559595943165276,0.5318939746229987,6.6985377025411506,6.2483272106600705,0.9327897353312965,2.702000856399536,221.07353973388672,6.814287619730357,1.0172798784345567,163288,348.11304347826086,0.5298682835785794,1.0227216505885437,1.7525491964425617,3.4101160606085252,0.2195438763020508,0.03480191617935308,0.001024155072065546,0.7986018110617581,0.417715716303,0.828556690852084,0.6360512282196312,0.07815120658819355,0.5725294150797989,0.8582245466777297,0.5346639417915857,0.8532182147319097,0.4995133425334653,0.09227992083217865
SIFT SIG 4.8+SIFT SIG 4.8 1,0,0.5508177734922581,0.17968232740284013,125888,75265,46088,0.36610320284697506,0.6123430545406231,13.338052699129307,12.565014776751354,0.94204266995973,5.4032816886901855,442.14707946777344,13.670528628587764,1.0249268717824276,163288,400.76521739130436,0.5456618308653766,1.028759904584937,1.7422357018334125,3.4194363243518047,0.1925446971011977,0.03584932638535841,0.0011065787189724007,0.8932848486285548,0.470121236139971,0.9099795944232896,0.7983614834281156,0.09565816394339229,0.782090360098892,0.9461725975731142,0.6331912804985936,0.9257162875656607,0.6778745140528885,0.05416990450058395
SIFT SIG 4.8+SIFT SIG 4.8 2,0,0.5508177734922581,0.17968232740284013,126156,75265,50712,0.40197850280604963,0.6737793130937355,26.57829711053128,25.653134755492708,0.9651910597887029,10.8085298538208,884.2941589355469,26.565692897239003,0.9995257704720562,163288,440.97391304347826,0.5964034587313445,1.025372585004389,1.80286319323282,4.014038174957989,0.22138744281432401,0.04517422873268017,0.0012620287111531788,0.9168575201156153,0.5082595131991449,0.9226468934318611,0.8246592892443411,0.11580423426274802,0.8102670145552819,0.9641836068663081,0.7028144353866773,0.9573604937108137,0.7414042132143497,0.04516781779580188
SIFT SIG 4.8+SIFT SIG 4.8 3,0,0.5508177734922581,0.17968232740284013,125150,75265,51601,0.41231322413104277,0.6855909121105428,39.817907697408614,39.61442081968178,0.9948895637793627,16.205137252807617,1326.4412231445312,39.1961591340819,0.9843852025563067,163288,448.704347826087,0.6146910011117819,1.0218215551478917,1.8203399212387115,4.385737115461446,0.23369702137555473,0.05151418298042349,0.0010852502858471735,0.9182518118119093,0.5186669253904077,0.9169382468770978,0.8284411153250137,0.12058745595558029,0.7975078048985474,0.9654518188859186,0.7333838484879575,0.9619292037705536,0.7115639309154602,0.03882035780839657
SIFT SIG 4.8+SIFT SIG 4.8 4,0,0.5508177734922581,0.17968232740284013,124788,75265,51089,0.40940635317498475,0.6787882814056999,53.057974673901,53.81901554269353,1.0143435717904792,21.60962963104248,1768.5883178710938,51.662585895772565,0.9737006776699522,163288,444.25217391304346,0.6205942276732735,1.0197712811688247,1.8224359455903378,4.530267333397442,0.2480377380649455,0.055101452062698335,0.0011939947933997533,0.9105885822479822,0.5139242371953195,0.9037465710966613,0.8257387435551461,0.12197089341789255,0.771228097725498,0.9656414806794085,0.7479535099018623,0.9666162437128059,0.6722338290607964,0.041363341053175
SIFT SIG 4.8+SIFT SIG 4.8 6,0,0.5508177734922581,0.17968232740284013,124404,75265,49033,0.39414327513584774,0.6514714674815651,79.25844062599299,81.52328476660614,1.0285754314963194,32.40373229980469,2652.8824462890625,76.42097442402427,0.9641998230149614,163288,426.37391304347824,0.625421241419822,1.0174125745443947,1.8095794072590174,4.430589048583647,0.2768543633879224,0.053221761358155685,0.0014276099769542961,0.8894143001042277,0.4958960852494812,0.8665368278172613,0.8067052191125852,0.11799276418416167,0.7017483218033732,0.962683711960996,0.7401711851619106,0.9654654603005386,0.6146958765308196,0.04361675164791734
SIFT SIG 4.8+SIFT SIG 4.8 8,0,0.5508177734922581,0.17968232740284013,124272,75265,46811,0.37668179477275654,0.6219491131335946,105.52998386825145,109.55356660076812,1.0381273888712037,43.213905334472656,3537.1766357421875,101.16928974871263,0.9586781504204254,163288,407.0521739130435,0.6247103893582497,1.0150644942749165,1.7932001260838513,4.2317336165829795,0.28931234111640425,0.05008368739539076,0.0013458375168229689,0.8613182967760218,0.47492639735017733,0.8236166689854635,0.7821972385459126,0.11301425455940292,0.6286325627815841,0.9559425499234344,0.7357563835647541,0.9547458520545576,0.5695749638055305,0.048052783713269306
