combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
BRISK+BRISK 50,0,0.6367477552870787,0.20264427090648177,264832,178779,86240,0.32564040599323346,0.4823832776780271,21.201124604843617,11.203122354623334,0.5284211363044329,8.399999618530273,72.0,21.949325287734645,1.0352906129668278,338095,749.9130434782609,0.6689830452983668,1.0145636778040057,2.028750680793833,3.7249388291445142,0.6581748608534322,0.03708388714354761,0.004336734693877551,0.798036204913957,0.42919467546905565,0.7980077766240244,0.6738210090106852,0.09671492076468523,0.6470459045600917,0.7736059021113216,0.29689322796797807,0.8133396256753129,0.7429234897709388,0.08595498176456522
BRISK+ORB 50,0,0.6378906054257512,0.202791338448862,266283,178901,78425,0.29451748703447084,0.4383709425883589,21.341191819156958,11.356518147921843,0.5321407653403708,8.399999618530273,72.0,21.914464988811858,1.0268622846611735,337835,681.9565217391304,0.6960451026143335,1.0080755364661962,2.2562594108984766,3.4918751854230274,0.6937711189034109,0.032867287810337126,0.004807140580172139,0.7272357309920208,0.38892955847499416,0.7611112394494707,0.5693830182169606,0.08606032788752814,0.6087153220245288,0.6511110827569675,0.26002966252785165,0.7517959252555764,0.8406310557248828,0.08740516855350117
BRISK+SIFT 50,0,0.6367477552870787,0.20264427090648177,252374,178779,108026,0.4280393384421533,0.6042432276721539,20.898199303991134,11.803643875502836,0.5648163128221568,8.399999618530273,72.0,21.394203331956348,1.023734295034237,338095,939.3565217391305,0.7268495800077511,1.0163584482431964,1.7858455630917864,5.371813261270971,0.9020143298835466,0.0671978888475041,0.006674319145390925,0.8471639678216911,0.5110085308066381,0.8397903763178618,0.6969380334984087,0.1286111301616904,0.6370190188168569,0.805174300567124,0.4040947406369462,0.8637317107180547,0.6725688844342511,0.09258092310014736
FAST+BRISK 50,0,0.6529147826086956,0.1993323238882542,270725,187713,73033,0.269768214978299,0.38906735282052923,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,635.0695652173913,0.6801714648545328,1.0196135947760596,2.1339899592507297,3.9162360328746884,0.7203045198745772,0.04171022255055869,0.005120972710966275,0.6761103112400387,0.3611029433716442,0.7035971384307282,0.5338362707911324,0.06805940988625664,0.5617459222737946,0.6362063945768968,0.22223768266044513,0.7005123231690369,0.7584469719805862,0.06479401860850698
FAST+ORB 50,0,0.6559060869565216,0.1978264453623127,269485,188573,97019,0.3600163274393751,0.5144904095496174,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,843.6434782608695,0.6367134298111407,1.0290839333277482,2.137399453214069,4.283733788522552,0.7922056504396046,0.046622260979275285,0.006400808089137179,0.7114793706228634,0.4687681739282784,0.7916004425128277,0.5225689764864762,0.09623833509698096,0.6555411158364612,0.5773913428877189,0.3110657454445359,0.7555380843283641,0.6292290221612603,0.06726217047788993
FAST+SIFT 50,0,0.6505808695652174,0.20044334335391642,256670,187042,126926,0.49451046090310513,0.6785962511093765,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,1103.7043478260869,0.687269969689041,1.0313237994571087,1.6540995290095026,4.858094050726614,0.7504766556891417,0.06241477383410605,0.005838047366181869,0.8748623139804319,0.5857731348646761,0.8693084512234125,0.7914102279976087,0.13502565310667713,0.6652786529550001,0.8610427633353845,0.5032313128257928,0.8785059150462694,0.6466818992350284,0.1080964667660885
GFTT+BRISK 50,0,0.6367826086956522,0.2110269540833977,271677,183075,75455,0.2777379019939119,0.4121534890072375,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343603,656.1304347826087,0.6778502758755081,1.0244532458067248,2.1014744348364016,3.798713177780968,0.7664700815055331,0.038965389046551606,0.006189119342654563,0.6867479747737957,0.3586022584541544,0.7117664210751021,0.554747700589302,0.06489111487180466,0.5849593617716539,0.6663807405997157,0.2128326900980394,0.7079201047476729,0.7792568729664378,0.039928881944078384
GFTT+ORB 50,0,0.6392173913043478,0.2103293807179461,266496,183775,99909,0.37489868515850144,0.5436484831995647,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343171,868.7739130434783,0.6388557734034311,1.0458037649324017,2.0898252309976995,4.335322106147935,0.8024402206007467,0.048117044908741594,0.006656057011880811,0.720775094500551,0.47012052049112873,0.7932566130232899,0.5357561993622983,0.09052860302756084,0.6559496400279079,0.5804173446764163,0.30350771160383966,0.7520432676379278,0.6330464420706482,0.03656079902195745
GFTT+SIFT 50,0,0.6357773913043478,0.21094231441459538,263620,182786,107832,0.40904331993020254,0.5899357718862495,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343877,937.6695652173913,0.649420433166342,1.0544362162296956,1.666627597342779,3.9661899704119565,0.6185176941909637,0.045884227296866704,0.004794495140589065,0.8115024184605664,0.509931971148884,0.8190295003848714,0.7168369563553215,0.10198291469549975,0.6287342750320818,0.7553981825883396,0.33682909619601664,0.7790929190277204,0.6912156435404186,0.08324788099752452
ORB+BRISK 50,0,0.5900136910939888,0.20973696900054062,232022,147909,90246,0.3889544956943738,0.6101454272559479,51.8953094080848,18.03248973314752,0.3474782198781578,31.0,111.0786361694336,53.18893554952871,1.0249276120751363,299751,784.7478260869565,0.6644709456079471,1.013151127515592,1.9079383542670931,4.221849652188155,1.0034904594109435,0.04371568213359078,0.00749063670411985,0.8526437131603946,0.4324826562140388,0.8053430019265506,0.7495550788849802,0.09249462626906765,0.6458327403574163,0.801472175308636,0.36887768286314154,0.8349639138617913,0.7081721621268354,0.040125787228181484
