combination,rep_total: mean,total features,total num matches,num possible correct matches,total correct matches,size: mean,size: std,size: min,size: max,size: unique count,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP
SIFT1,0.015344827586206897,139200,116000,1780,1027,3.3720339048807992,5.304273816907918,1.1224762201309204,274.1836242675781,137171,0.17890021744945558,0.029506618886739888,0.2743667100863666,0.24035484958111006,0.03235819995699181,0.26004332211876435
SIFT2,0.037024325065836444,139003,115706,4271,2727,6.011843585342311,9.301656558875438,2.2449398040771484,455.21197509765625,134566,0.2630437328342348,0.043545084840611446,0.34338624750933405,0.32564788326200494,0.0432904170255098,0.3672340268867042
SIFT4,0.09532018008947898,135736,112044,10514,7433,11.138504790860692,13.818913097231556,4.489965438842773,530.8178100585938,127507,0.3521878438853277,0.10094205175787367,0.39562456741682966,0.3791836453455314,0.04133596617940302,0.41110242186818446
SIFT7,0.15121080520798552,126431,103117,14375,10567,17.785462492559706,18.66524270273556,7.857258319854736,569.191162109375,114502,0.40129092295075985,0.16738460263506805,0.4289036756183807,0.3991961721314643,0.05375822935240246,0.4154970884524046
SIFT10,0.17875801447935263,112528,90226,13812,10004,24.02267637439088,22.848806583717494,11.224651336669922,711.676025390625,99043,0.4182099295086089,0.20143306486730692,0.43906235644062763,0.42193233578764255,0.06326824190518233,0.4280084041723031
SIFT15,0.20069583773773833,86518,67389,10881,7484,33.78002457837076,28.703081357861493,16.837282180786133,737.6307373046875,73046,0.43142124915957875,0.2251572936082396,0.4467029952055178,0.4276153641080304,0.0727989704483185,0.42786842684420173
SIFT25,0.21368739061699488,42363,31792,5748,4000,52.232492089679575,37.78855291207115,28.063142776489258,825.889404296875,34724,0.4561384025682333,0.25884817930441517,0.4587469822204603,0.4441919171849443,0.0864343629122787,0.42958376988254104
SIFT35,0.20957296758663063,22322,16317,3190,2284,70.19664529835107,45.469209965087686,39.289703369140625,895.9797973632812,18413,0.4702131180317256,0.27627424597292,0.46994813245865885,0.47947877420701296,0.10233101095156293,0.43834016214533034
SIFT50,0.2067287762846336,10467,7251,1562,1162,94.10334732385127,52.84071892529474,56.137245178222656,606.716552734375,8664,0.448069806084469,0.30305968422430163,0.4350690940203915,0.43051605607600546,0.1202222123263452,0.29657057066044035
