combination,rep_total: mean,total features,total num matches,num possible correct matches,total correct matches,size: mean,size: max,size: unique count,response: avg,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP
SIFT0.5,0.13547413793103447,139200,116000,15715,12285,6.4722888776086185,143.20123291015625,96639,0.020079697422517983,0.3441543027839761,0.1506634990069968,0.39490180630314187,0.349063164333873,0.06341569673639491,0.3746773909701994
SIFT1,0.1202155172413793,139200,116000,13945,10818,4.629219337739479,282.8077087402344,97296,0.07035966249024923,0.3131523587166155,0.13558803930153138,0.3617993029353697,0.34020994165818147,0.06157571114563266,0.35507158100464475
SIFT1.6,0.13467241379310343,139200,116000,15622,12432,5.9605659000232984,392.1612548828125,99154,0.164562972116556,0.3417563110090243,0.15106436635987558,0.37997937255212844,0.3703270997280153,0.05834951912944038,0.3828007006822279
SIFT2,0.1459051724137931,139200,116000,16925,13623,7.036867400226237,392.4516296386719,100352,0.24299312285575803,0.36028743521489764,0.16384619130069475,0.3936329851427326,0.37591084846229045,0.056518017725799105,0.3888687252150176
SIFT3,0.16213844957220638,138843,115512,18800,15243,9.53130675202571,580.4375,102995,0.4907215200688171,0.3948951981685871,0.18742917739053216,0.419940783057535,0.42241993260482275,0.06588216287547594,0.4279929774611151
SIFT5,0.18080967855630312,138110,114687,20791,16804,13.904206765979803,514.8648681640625,106562,1.1490590547152768,0.4203037172318328,0.2042175458365032,0.44042081004611916,0.4203522104612285,0.06222126541810944,0.42661555353202746
SIFT7,0.19359991903772866,134349,110914,21412,17006,17.99755443199717,569.191162109375,106293,2.0022832152787178,0.429390406259392,0.21540858073265431,0.4450715910731019,0.4194413109087644,0.060189240799528726,0.42117240450043325
