trial,GFTT_qualityLevel,GFTT_minDistance,GFTT_blockSize,GFTT_k,value
1,0.1568626218019941,1.6443457513284063,1,0.34700575372687437,0.09732135698228328
2,0.8326101981596213,2.202157195714934,2,0.0766281859019598,0.3588005832824406
3,0.612241041827657,1.4809892204552142,3,0.14907928994430192,0.6838291981812774
5,0.30530915540419734,1.0669539286632004,7,0.17830038752088212,0.8148968881442921
6,0.2595212016184169,6.658970615104422,4,0.2099469363864131,0.665314914316388
8,0.3892886123997925,2.78635541456157,9,0.14527431737066138,0.8487727404239973
9,0.07547609303609105,9.870180672345121,8,0.08269140988753228,0.8011822573836753
10,0.7714990763392598,0.8330420521674946,4,0.049884147571951365,0.6570053220941499
11,0.31167133939394653,3.319314888064796,8,0.2564727586566644,0.8305230067959313
12,0.7610242635682806,5.656644255938012,8,0.19954305616029874,0.7776045518716262
13,0.032397756501047516,6.4004630715114255,4,0.2053939937012223,0.7219968658420673
14,0.22956936732613084,0.8621011073050506,3,0.06784362975258576,0.6049046578273697
16,0.22870722737939975,4.328367107399937,9,0.34484931096951205,0.8447090861039955
17,0.12074550196634912,3.442390196895917,10,0.13198836108021908,0.846244533175543
19,0.052427272498739366,2.8585999959424533,10,0.09886650870412109,0.8454419040272197
20,0.6724634118584727,7.640034191754304,3,0.2923736740502964,0.6781857525447883
21,0.0911994802843539,8.369494706333455,4,0.07786133011834229,0.6896304740735911
23,0.34172528469920826,1.223387860281832,10,0.3514263839388685,0.8520749933920231
24,0.5301209277776505,2.4943376799144716,1,0.3592974401495174,0.12517903488891297
26,0.6068226305999304,0.1910508110046335,2,0.2667467005667901,0.47182090779721525
27,0.6523092982430979,2.320266163659542,8,0.09795063864873284,0.8199943831985347
28,0.657955279408043,5.726255173021169,1,0.1496154580115357,0.10378393746816865
30,0.28149159007841495,0.340728067671393,7,0.07413582904519139,0.82403274848293
31,0.016441159912338563,9.29035376961848,5,0.38679530834129316,0.7524226419133427
32,0.8512855348453401,3.2375278510471492,2,0.22449329993350667,0.3200027949108705
33,0.6153922194724706,9.901533116032207,2,0.20925854233603977,0.5373559568440588
34,0.3601316600685354,3.0065592582184846,9,0.3248049042929556,0.8483048141023484
35,0.7984968837878084,6.534642914699875,8,0.31913389709669604,0.773413551028451
36,0.5787018608551778,0.45582851058774665,5,0.21888727534420035,0.8242227332243734
37,0.8227779600989986,3.665887349971503,2,0.21080833098170254,0.3890822668519367
38,0.05263003944743909,5.360410852524665,6,0.2564222409932898,0.7796869728947745
40,0.4095439914698556,1.8156137687013734,2,0.10309618767317975,0.46892881184464863
42,0.015379095141126113,1.2491191410184708,1,0.020128605718312174,0.08721808920751767
43,0.49212425924171554,4.7873705307276,2,0.17580525309823733,0.5351594300675186
44,0.37523800201184476,6.29601316557094,6,0.3431699771105756,0.8074171085208348
45,0.02748479923108019,5.899178254607286,10,0.2318877744388481,0.8329507572297224
47,0.09534851779517246,6.861767056821932,1,0.13031434959632948,0.09334492648810709
48,0.1190466627940346,6.997697937105091,7,0.351478917356713,0.8166678895161439
49,0.7508641368892175,8.087663918745914,10,0.1673966000569249,0.8008186042011416
51,0.32072955142958115,8.965679962112384,4,0.008291709986198152,0.6911432191604557
53,0.7917874646821227,7.9172196136660835,1,0.19979044066222226,0.08947143802372123
54,0.3515640975395266,1.2589634626332982,2,0.305558210160119,0.4311566645227558
55,0.07369024335782934,8.236414586974526,8,0.036214117134192314,0.8068992423864201
56,0.812986767690245,9.477760916100202,10,0.3023377613625409,0.754150590081914
57,0.4247977872377293,9.072908412437886,2,0.19907954129918023,0.49282774809944724
58,0.11840872053032778,6.527181990949029,8,0.23501403097847523,0.8130631024824333
59,0.2243722426809332,9.635903140462052,1,0.3880720153762251,0.07188042178434971
60,0.07472276817066346,5.583157415573075,10,0.21114674629137895,0.8238750430175568
61,0.5847299976111772,9.02146430386079,1,0.11526142307852322,0.10458874693591726
62,0.27810380179815153,1.9623994812652372,5,0.14392748229831692,0.7773700536855068
63,0.6984635523057254,5.407354026806792,4,0.3262628278039517,0.6741827956485348
65,0.3770869035111715,8.124477974740145,10,0.06356508887699716,0.827467415629229
69,0.5207873932028895,7.745952078182829,6,0.34146387412614193,0.8013838682651913
70,0.1348812132221901,0.3849484955020559,8,0.24964258233597203,0.8333577422344768
71,0.3512369712477904,5.940185099860868,4,0.17724006912139673,0.7501031964211026
72,0.3971462395389489,6.258658332255948,9,0.3800101669684263,0.8409304398261451
73,0.45967662048202307,9.802322495326223,5,0.13418563767385328,0.8162674777023012
74,0.12891779311881466,1.6038366657717142,2,0.257786398942073,0.5364437954567229
75,0.6678901807825062,1.8059667248961355,2,0.02018397204152563,0.5489814870098285
76,0.12151523522950021,4.661709803523985,3,0.1482508649750379,0.6853241979363379
78,0.18533649833702096,2.172558301033432,4,0.19587110213564446,0.6725905075825079
79,0.037646519687707304,2.5991257490058057,8,0.35850190772413093,0.8182377103203511
80,0.5330846491885681,2.500457985983824,3,0.15340452858943057,0.6683528975313587
81,0.12064236968743197,8.91622007932496,6,0.2729245183812179,0.7928880367058382
82,0.5872542769028583,7.479850794424867,5,0.054521799907043256,0.7965665288507173
83,0.3567406291719484,9.866500963050498,7,0.09794180952745382,0.8238690542734799
84,0.18738045702725445,2.9224421700690866,2,0.3591191081520644,0.5401669427425566
85,0.11292686326588429,4.038770430552842,10,0.3467408218540162,0.8315594781855437
87,0.5081027683057706,2.4998563509092944,2,0.24580553680688652,0.5113267966758014
88,0.5330568431190342,0.6130530145420264,4,0.05722821206783381,0.7388575384701953
89,0.2553860141090001,6.8468769500169,8,0.23987294128070635,0.8196051403166662
90,0.8307887883799414,9.653766415598474,2,0.29342352018064316,0.3436390300520735
91,0.574898640066732,8.434104889906893,2,0.31892585549651653,0.4932704438224776
92,0.6655320234755039,5.278347705214281,4,0.3513714141619909,0.6831875800042879
93,0.46321710588393683,3.083640954225007,8,0.20307727447662174,0.8417292250937314
94,0.9065656388535824,6.279956159548521,2,0.37617352095093615,0.26587474120082816
96,0.034498902301043605,5.741907880226034,8,0.35119919215765283,0.8021523823948536
97,0.12836117366965044,4.033144176547636,8,0.06336730123011441,0.8145150129494632
98,0.6942544960226329,5.472971989141202,3,0.1408956134275521,0.6270591464676677
99,0.46254379784048855,9.478105062156972,2,0.23614701347865172,0.5132471324594989
101,0.42470654063108365,7.390797932684756,10,0.37052513111108343,0.8324589921021599
102,0.12553801852206356,9.216334637911986,9,0.20945987062192456,0.824287670881804
103,0.8030505951494135,0.1458570277455683,4,0.16167480266201356,0.6599354623152404
104,0.7377637468616386,4.576957614809091,3,0.1831660483885466,0.6374329389978994
106,0.14951406502535985,4.204778824897534,1,0.3987622037309952,0.07342318135174576
107,0.21069568750249018,8.990737465463067,3,0.07951233738281197,0.6062211373699542
108,0.7757520890783156,4.587559464005473,6,0.17854204778753835,0.7468700037605633
109,0.8619238353925038,9.466543075122964,4,0.1112148905648473,0.5773487462617897
110,0.7162562566185501,6.623347024910498,1,0.09190097612544798,0.11879509791369562
113,0.2086783688908813,0.3626688183508152,2,0.2348844581439981,0.5589908313012383
114,0.2601640099978612,3.8589548408559424,6,0.11015320176585901,0.8144842944496944
115,0.2951712937823758,9.489687738925351,8,0.059484817603515205,0.8342167558335696
116,0.4257882909647642,0.32244615236916224,3,0.21848714900570332,0.6403248278574653
117,0.9844177785228486,5.30433280479659,2,0.11183370130167011,0.1686473429951691
118,0.2747811654665188,5.586362224906354,7,0.33257775426805186,0.8299367710392974
120,0.5193987875775548,0.564963071073045,2,0.2962613121048427,0.5191830600978149
121,0.28940504303392917,3.6211598930029965,8,0.12166019938677732,0.837228925649048
122,0.7328395251130401,2.227909748048492,1,0.10785656154273074,0.12336802255945589
123,0.33490964692614383,7.732030817083637,2,0.03375456156738027,0.4758858847695409
124,0.2471556312058677,8.209112944974578,8,0.27909980245835303,0.8303544994688666
125,0.9173962618867806,1.4545044460977181,10,0.18061828609135047,0.5960462264615991
128,0.6977228469795931,3.0437551729882526,10,0.38853906508548564,0.8245702991362716
129,0.3197813727700124,8.306263194091706,1,0.24012287187889303,0.10595429868977353
130,0.34053508880429806,7.275191038134738,1,0.1288549737809217,0.09329821625713122
134,0.3552675354831358,2.9436660173754094,3,0.09650866941576434,0.7161765796556139
135,0.384942320512522,6.828508098661391,3,0.3801846288442893,0.6814081765836718
137,0.6081290580839802,5.1756162590634345,3,0.07390510067418128,0.6416215184550126
138,0.05878483388683297,9.694116038394032,9,0.3713899041453044,0.8257979603869731
140,0.09239535056035712,8.786862540040765,3,0.05528790882799045,0.6159376681482048
141,0.6555867386583827,5.553487969030479,1,0.16574747237599669,0.11390906672682738
142,0.08196516969174028,2.2798136993031326,7,0.03414782035815887,0.8173494679156512
145,0.15944650018778062,8.820620516069392,9,0.015581924081685423,0.8284502783555052
146,0.1615991361522599,8.197873538778715,9,0.20495722256929114,0.829184500809712
149,0.30166260337986944,7.110903677588287,1,0.23453950222980424,0.1267655522963109
152,0.1644601973704775,7.968614532624301,7,0.09142476666434912,0.8159563310975269
155,0.8644938915897974,4.784778076246416,10,0.07746810421843599,0.6897183621232734
156,0.7612629669520559,6.2995811841510125,2,0.01688036707853576,0.42699792128483793
157,0.11819088077343208,1.3393393428052496,7,0.17440113438018723,0.8192890100469357
158,0.2697244110306626,7.995835096308163,4,0.18426717903639328,0.7018795853900479
160,0.24280297084666494,9.86795967334475,2,0.201559708766737,0.5492622171031079
161,0.3271348469357479,5.225345269508643,1,0.14284826475883558,0.12504493192506017
163,0.032554558680816394,9.368501237812529,1,0.2183533487792239,0.06123014464897505
164,0.34011074235026323,8.166768626090471,1,0.35834739579996894,0.10165289788778388
165,0.5268762582751771,7.342736265377785,1,0.027899425260263264,0.09615974650464529
166,0.9758893905633121,3.435268338533958,2,0.31672060882842173,0.17221014492753622
167,0.22922628658996744,9.963705768961745,10,0.261528971793387,0.8401229548253237
168,0.2584252056227025,4.6799672717192315,9,0.291958951627458,0.8338452522713277
171,0.7333799093928657,1.4025200827598723,8,0.36397687818359387,0.8194326356532271
173,0.16436034871243774,3.971707212852431,10,0.10622083934964652,0.8492710916005795
175,0.4314566361381441,2.562271298617536,7,0.28388377788663655,0.8190358846544039
177,0.27047986190547263,0.665159875284217,6,0.3748958541488048,0.813530923164546
178,0.31683994887177375,5.121624606015085,1,0.06274390758098719,0.10109817123214776
179,0.6394808178776848,8.692391115748219,5,0.2081760273173831,0.7484166740190219
180,0.30862201164959974,7.076339551092802,3,0.2706792435966673,0.711704538184715
182,0.8690360794942396,5.7490364917244134,1,0.3726556834207632,0.11604353983247473
183,0.39447054124850434,6.547206472710771,2,0.26450674062280227,0.48475323088972994
185,0.8080380959993173,7.646622834288496,8,0.17649099266592147,0.767599058494853
186,0.32526124407037005,3.727969195226839,4,0.2794050138491854,0.7522755342144395
187,0.22804235763588832,0.824639645307592,7,0.26861226822778644,0.8309033075811548
188,0.5195627033510818,4.8439005885343365,1,0.13913413973995792,0.09850413831281034
190,0.6478272394404484,8.99050243460487,3,0.37110567973933745,0.6859802505778583
191,0.4863858874271393,2.642088020433029,3,0.12568682611080947,0.7280211324945547
192,0.7164345235489704,2.7989776072619845,5,0.052266892961431236,0.7625294291568862
193,0.7093372154607103,1.1580815386379641,6,0.10559886234574006,0.7985576051842159
194,0.04436912032196434,6.368198618380821,10,0.24223828077794718,0.8336729686441577
197,0.737136871199238,8.641691067677963,3,0.041902963985984046,0.642337807873651
198,0.23271514901985943,3.9699693594645953,6,0.20071967610823108,0.8011784177487292
199,0.42877141531068913,7.204217880015944,7,0.3965373735060666,0.8322308599976145
200,0.27488650589324604,0.8862517529909674,1,0.35809958636699085,0.12690928678280128
201,0.07035441890334727,5.238691929991877,1,0.3209411770976552,0.0872574250804992
202,0.5334248287647839,3.3109041558422185,4,0.2691168342584833,0.7180636034878586
203,0.46574040667143446,0.6954091917477736,6,0.38321961266413057,0.7993855132395858
204,0.0975797731970729,4.558672268956033,8,0.1416383235986369,0.8228755924556435
205,0.3999165998934988,1.6089185319711328,10,0.37109238329802097,0.8402105681531851
206,0.0900353076839006,7.577177162918399,2,0.33112278158000125,0.42223888746280525
207,0.263849457340932,3.6653504339680394,1,0.3750352979203009,0.10520102944108359
208,0.6009937390272567,5.205226334195328,10,0.20079753923070878,0.849190471307915
209,0.11725003148759061,8.192752114062797,4,0.35167783089624755,0.6522597350218018
210,0.08183836376820093,4.089503769775098,2,0.27920063120537486,0.4866524029154616
211,0.13339214806910657,8.633943374498964,10,0.19687651985229862,0.8288519760837322
212,0.3992643647445408,1.5491025224062664,4,0.030996234516655456,0.7325651739700348
213,0.9658563389920667,4.381728995468307,4,0.20443217768473668,0.3014492753623188
214,0.6199683669429318,6.536990814741718,2,0.02829445233582459,0.5296493616904067
215,0.05872278043537027,6.980848765699676,10,0.09871532126950655,0.8197696623573157
216,0.6924691803524378,0.7166888014876206,6,0.39869195412577885,0.8152117102499661
217,0.5275144224477399,4.318225500514678,2,0.35509526923522483,0.48069310563485196
218,0.8277103576713074,7.36278236755788,8,0.008368380713744298,0.7431448566636665
219,0.7605295332990128,1.4573860867170907,6,0.08921994131882606,0.7899589857307733
220,0.9596170676767124,4.929755034870988,2,0.22099195763358243,0.20777777777777778
221,0.15089861602929028,3.314291676211594,8,0.19250317923003155,0.8314969905303549
223,0.03938792261336267,9.027443722140692,5,0.25633178481607904,0.7234631823546573
224,0.06758538852012927,5.23223941725752,2,0.2960237724137083,0.4191682904342118
225,0.7166070646746195,0.8136349263868663,1,0.00879495619301543,0.16141913860125906
226,0.3503535265161037,7.7690699586937,7,0.07733744487551732,0.8339144281376825
227,0.26578138189667905,0.30735511420603684,1,0.3872725737986321,0.11646658821872957
228,0.20648157493335956,1.3017255397781238,7,0.31075497713256406,0.8304186115918358
229,0.79891547746292,2.998938163339551,10,0.24234510949598356,0.7933639211839786
230,0.1289676506198338,3.4488483093455344,10,0.09294778229016537,0.8457513209932224
231,0.9431327619069629,2.4828578471417995,2,0.08219831398453518,0.2352536231884058
232,0.8615086263670726,8.480491953033752,10,0.1038874439886512,0.6545468123863645
233,0.7766709990532249,6.596002193042608,2,0.2198306598831876,0.41740583028587386
234,0.13259704468110733,7.2872011088544255,9,0.08855050105902608,0.8300513426581149
235,0.5907573427683142,5.132769414471172,3,0.22774870917217038,0.6411266375782851
236,0.16091156331961842,4.66941899675592,1,0.10168483035056272,0.08477231654499932
237,0.8002708977304603,2.1199527828260987,6,0.2942962332277512,0.7522163701775678
