combination,rep_total: mean,total features,total num matches,num possible correct matches,total correct matches,size: mean,size: std,size: min,size: max,size: unique count,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP
SIFT5,0.11059195772127953,133835,109896,11715,8862,13.441855455792542,15.497212942980992,5.612311363220215,433.80419921875,123882,0.37052162999783794,0.12458228806636983,0.40930707170357467,0.4002107006050919,0.058397957123685576,0.42073098202256903
SIFT7,0.14029212427088136,126431,103117,13259,10245,17.712711862343273,18.476188669230893,7.857258319854736,569.298828125,114494,0.4015758073558574,0.16478060138386894,0.4292748141975137,0.40370729977172265,0.05490434421012379,0.41605177530747994
SIFT10,0.16456476104950907,112528,90226,12519,9667,24.027960666912847,22.795207941872572,11.224651336669922,571.3402099609375,98969,0.41571428863251,0.19806449854390626,0.435126415959154,0.4201357626158153,0.06345270329926433,0.4271791365576907
