combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,Verification distance AP illumination,Verification distance AP viewpoint,Verification average_response AP illumination,Verification average_response AP viewpoint,Verification distinctiveness AP illumination,Verification distinctiveness AP viewpoint,Retrieval distinctiveness mAP illumination,Retrieval distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
FAST2+SIFT_FAST2,0,0.5008913590551881,0.1806378743147228,247633,143574,102390,0.41347477920955605,0.7131514062434703,10.5,0.0,0.0,10.5,10.5,10.5,1.0,341531,890.3478260869565,0.7554395689214035,1.0303914178589106,1.8057688694241902,5.494816926661632,0.6320441449360289,0.07276493843712267,0.003408535989842758,0.8608463249833918,0.7790949484610719,0.5652712546735705,0.4381620002504392,0.8548200020475074,0.7666254153577808,0.743322136708188,0.6607717120376901,0.1475336830287431,0.10795143309096031,0.5312225886902878,0.5285535788220185,0.9460100251241091,0.9261151500966095,0.5141187499376885,0.0494982606784986
GFTT2+SIFT,0,0.5053412920534488,0.19155223548067987,243524,144604,105568,0.4335014208045203,0.7300489613012088,9.0,0.0,0.0,9.0,9.0,9.0,1.0,341796,917.9826086956522,0.7619165594823435,1.036285889943801,1.8079474910062066,5.925218869598068,0.6802534859048196,0.08108441057144265,0.0039690057593210065,0.8657504119853076,0.7771074933330665,0.5864550618905673,0.44201715344981285,0.8690936911877499,0.7715322256812824,0.7299195464237448,0.6412487778122404,0.13687023169980567,0.09298392036976734,0.5613346802352016,0.540865881276373,0.9449881136947055,0.915356592235448,0.4787206096759204,0.04946024822277389
ORB+ORB,0,0.4648937219302437,0.19966409422699868,271563,133526,77258,0.28449383752573065,0.5785989245540194,80.90330699371226,27.985421224536292,0.34591195668566793,46.5,166.61795043945312,83.15692443292669,1.0278556899953368,344343,671.8086956521739,0.6354083827103802,0.98175108022511,2.3702397156350385,3.69466385332317,0.3694504129022237,0.03513365222802812,0.0013720261979341946,0.7712011228755153,0.8220369630183263,0.3212676107110605,0.32929568269105247,0.7890572721331617,0.8371961304664906,0.6804692375445186,0.6826078392265947,0.07157738368987317,0.07875048751843657,0.6787444162071331,0.7136807380924122,0.8455863885208681,0.9381096365720288,0.7447751172381297,0.012071699468880457
ORB+SIFT,0,0.4648937219302437,0.19966409422699868,246217,133526,66491,0.27005040269355896,0.4979629435465752,78.84452414226881,32.88696234581277,0.41711155852080234,46.5,166.61795043945312,74.48888475919203,0.9447566025610432,344343,578.1826086956522,0.6797428116448251,1.0407262160756379,1.9901190454658286,6.8727545214180985,1.023251267088779,0.09472538451853446,0.005910574363447684,0.6552483546156138,0.6173176609716021,0.34069429920117994,0.3002815037910721,0.5618929006096371,0.5528160844404081,0.5869501454320809,0.4763136843236172,0.07272247457018423,0.06862515828965246,0.317486176022967,0.3150072063601127,0.8195028382127426,0.8032893533281922,0.48773679755548127,0.22267513008179143
SIFT+SIFT,0,0.4397358857621091,0.16584189501094918,258577,125299,77121,0.29825158463436424,0.6154957342037846,8.813532668086557,11.539222932088299,1.3092619459925934,2.6963130235671997,552.9922485351562,9.175693768577963,1.0410914799014448,340618,670.6173913043478,0.572355589084833,1.0167478792822247,1.9799710732140774,4.219373726201479,0.15650730669986126,0.048206143624529636,0.0007520649369173117,0.7636350644410763,0.8551822293558158,0.35681300654793585,0.4100606886533006,0.8471232369716535,0.9007718854255027,0.6650490555397497,0.7361399512427588,0.07176197456731018,0.0970303428481083,0.7602306444903743,0.8243933913361983,0.9077635061988862,0.962448217234915,0.6948745526101893,0.02777739207499984
